file	prop_repetitive_region	prop_poss_germline	prop_either
btca_sg_wgs_jusakul.maf.gz	0.119711754991743	0.693814742531152	0.719081219036181
borad_SureSelectV4-UTR.maf.gz	0.142857142857143	0.285714285714286	0.428571428571429
gao_CCA.maf.gz	0.175536139793487	0.307386814932486	0.390786338363781
zou.maf.gz	0.123924268502582	0.370051635111876	0.388984509466437
nakamura_wxs_SureSelectV4-UTR.maf.gz	0.124595469255663	0.313915857605178	0.381877022653722
borad_Nextera.maf.gz	0.166666666666667	0.333333333333333	0.333333333333333
nepal.maf.gz	0.131578947368421	0.236842105263158	0.263157894736842
nakamura_wxs_SureSelectV5-UTR.maf.gz	0.0524502297090352	0.166028586013272	0.201505870342011
zhang.maf.gz	0.110921985815603	0.0828368794326241	0.169645390070922
yale_CCA.maf.gz	0.112994350282486	0.0451977401129944	0.135593220338983
chan-on_SureSelectV4-UTR.maf.gz	0.114583333333333	0.03125	0.135416666666667
chan-on_SureSelectV1.maf.gz	0.0416666666666667	0.0833333333333333	0.125
MSK_2021_IHCH_IMPACT341.maf.gz	0.0689655172413793	0.0344827586206897	0.103448275862069
jiao.maf.gz	0.0759493670886076	0.0506329113924051	0.10126582278481
MSK_2021_IHCH_IMPACT410.maf.gz	0.0714285714285714	0.0779220779220779	0.0974025974025974
wardell.maf.gz	0.0593220338983051	0.00847457627118644	0.0677966101694915
MSK_2021_IHCH_IMPACT468.maf.gz	0.0544554455445545	0.0346534653465347	0.0643564356435644
jusakul_tgs.maf.gz	0.00436681222707424	0.0305676855895197	0.0349344978165939
TCGA-CHOL.maf.gz	0.0212765957446809	0.0118203309692671	0.033096926713948
borad_SureSelectV1.maf.gz	0	0	0
borad_Truseq.maf.gz	0	0	0
sia_CCA.maf.gz	0	0	0
