file	covered	within_100	within_1000	covered_regions_padding
borad_Nextera.maf.gz	1	1	1	0
borad_SureSelectV1.maf.gz	0.835820895522388	0.850746268656716	0.850746268656716	100
borad_SureSelectV4-UTR.maf.gz	0.707317073170732	0.902439024390244	0.951219512195122	100
borad_Truseq.maf.gz	0.942675159235669	0.974522292993631	0.980891719745223	100
nakamura_wxs_SureSelectV4-UTR.maf.gz	0.701896222254888	0.991768337498163	0.996913126561811	100
nakamura_wxs_SureSelectV5-UTR.maf.gz	0.701122231062351	0.99773878815795	0.99966500565303	100
chan-on_SureSelectV1.maf.gz	1	1	1	0
chan-on_SureSelectV4-UTR.maf.gz	1	1	1	0
gao_CCA.maf.gz	0.998681732580038	1	1	0
jiao.maf.gz	0.922462030375699	0.946442845723421	0.960831334932054	100
jusakul_tgs.maf.gz	0.997085610200364	0.999271402550091	0.999271402550091	0
MSK_2021_IHCH_IMPACT341.maf.gz	0.928	0.976	1	100
MSK_2021_IHCH_IMPACT410.maf.gz	0.952961672473868	0.991289198606272	1	100
MSK_2021_IHCH_IMPACT468.maf.gz	0.96361631753032	0.984564498346196	1	100
nepal.maf.gz	0.785097192224622	0.903887688984881	0.952483801295896	100
sia_CCA.maf.gz	1	1	1	0
TCGA-CHOL.maf.gz	1	1	1	0
wardell.maf.gz	0.999885097092957	1	1	0
yale_CCA.maf.gz	0.992210321324245	1	1	0
zhang.maf.gz	0.570322100167567	0.809048594302737	0.900055855520387	100
zou.maf.gz	0.99055018899622	0.994435111297774	0.997795044099118	0
