file	prop_repetitive_region	prop_poss_germline	prop_either
zou.maf.gz	0.0261845386533666	0.191906597143505	0.204035366130129
nepal.maf.gz	0.0312891113892366	0.180225281602002	0.196495619524406
nakamura_wxs_SureSelectV4-UTR.maf.gz	0.116233124794205	0.104214685544946	0.181758314125782
nakamura_wxs_SureSelectV5-UTR.maf.gz	0.0780221177068768	0.0557518749205542	0.116791661370281
gao_CCA.maf.gz	0.0474029248613212	0.0723651033787191	0.113212304589007
borad_SureSelectV4-UTR.maf.gz	0	0.1	0.1
borad_Nextera.maf.gz	0	0.0909090909090909	0.0909090909090909
zhang.maf.gz	0.0615741264276829	0.0202419993214972	0.0785932375890535
chan-on_SureSelectV4-UTR.maf.gz	0.0600924499229584	0.011171032357473	0.0689522342064715
jiao.maf.gz	0.0154125113327289	0.0453309156844968	0.0589301903898459
btca_sg_wgs_jusakul.maf.gz	0.0340826953430396	0.0176793379652166	0.0492838282367866
wardell.maf.gz	0.0283150780703799	0.0206245630389187	0.0469587508739222
MSK_2021_IHCH_IMPACT410.maf.gz	0.0072289156626506	0.0337349397590361	0.0409638554216868
yale_CCA.maf.gz	0.0327510917030568	0.00655021834061135	0.0387554585152838
MSK_2021_IHCH_IMPACT341.maf.gz	0.021505376344086	0.010752688172043	0.032258064516129
MSK_2021_IHCH_IMPACT468.maf.gz	0.020260492040521	0.0115774240231548	0.0318379160636758
sia_CCA.maf.gz	0.0209923664122137	0.00763358778625954	0.0286259541984733
borad_SureSelectV1.maf.gz	0	0.0178571428571429	0.0178571428571429
jusakul_tgs.maf.gz	0.00558213716108453	0.0111642743221691	0.0167464114832536
TCGA-CHOL.maf.gz	0.0150770239265814	0.000655522779416585	0.015732546705998
borad_Truseq.maf.gz	0	0.013986013986014	0.013986013986014
chan-on_SureSelectV1.maf.gz	0.00431034482758621	0.00862068965517241	0.0129310344827586
