Unique_Patient_Identifier	gene	copy
jusakul_CCA_RO_1	MYC	neutral
jusakul_CCA_TH_2	MYC	neutral
jusakul_CCA_TH_6	MYC	neutral
jusakul_CCA_TH_15	MYC	neutral
jusakul_CCA_TH_22	MYC	neutral
jusakul_CCA_SG_18	MYC	neutral
jusakul_CCA_TH_3	MYC	neutral
jusakul_CCA_TH_7	MYC	amp
jusakul_CCA_TH_10	MYC	neutral
jusakul_CCA_TH_20	MYC	neutral
jusakul_CCA_TH_21	MYC	neutral
jusakul_CCA_TH_1	MYC	neutral
jusakul_CCA_TH_5	MYC	amp
jusakul_CCA_TH_8	MYC	neutral
jusakul_CCA_TH_11	MYC	neutral
jusakul_CCA_SG_17	MYC	neutral
jusakul_CCA_TH_12	MYC	neutral
jusakul_CCA_TH_13	MYC	neutral
jusakul_CCA_TH_4	MYC	neutral
jusakul_CCA_TH_16	MYC	neutral
jusakul_CCA_SG_5	MYC	neutral
jusakul_CCA_RO_5	MYC	neutral
jusakul_CCA_SG_16	MYC	neutral
jusakul_CCA_SG_14	MYC	neutral
jusakul_CCA_SG_19	MYC	neutral
jusakul_CCA_SG_6	MYC	neutral
jusakul_CCA_SG_4	MYC	neutral
jusakul_CCA_SG_8	MYC	neutral
jusakul_CCA_SG_15	MYC	neutral
jusakul_CCA_RO_2	MYC	neutral
jusakul_CCA_SG_12	MYC	amp
jusakul_CCA_SG_11	MYC	neutral
jusakul_CCA_RO_3	MYC	neutral
jusakul_CCA_SG_13	MYC	neutral
jusakul_CCA_IT_1	MYC	neutral
jusakul_CCA_IT_4	MYC	neutral
jusakul_CCA_IT_3	MYC	amp
jusakul_CCA_RO_4	MYC	neutral
jusakul_CCA_RO_6	MYC	neutral
jusakul_CCA_IT_2	MYC	neutral
jusakul_CCA_RO_7	MYC	amp
jusakul_CCA_SG_10	MYC	neutral
jusakul_CCA_SG_20	MYC	neutral
jusakul_CCA_TH_19	MYC	neutral
jusakul_CCA_SG_2	MYC	amp
jusakul_CCA_SG_3	MYC	neutral
jusakul_CCA_SG_1	MYC	neutral
jusakul_CCA_SG_9	MYC	neutral
jusakul_CCA_SG_7	MYC	amp
jusakul_CCA_TH_14	MYC	neutral
jusakul_CCA_TH_18	MYC	amp
jusakul_CCA_TH_9	MYC	neutral
jusakul_CCA_TH_17	MYC	neutral
jusakul_CCA_JP_5	MYC	neutral
jusakul_CCA_JP_6	MYC	neutral
jusakul_CCA_JP_1	MYC	amp
jusakul_CCA_JP_7	MYC	amp
jusakul_CCA_JP_8	MYC	neutral
jusakul_CCA_JP_2	MYC	neutral
jusakul_CCA_JP_10	MYC	amp
jusakul_CCA_JP_9	MYC	neutral
jusakul_CCA_JP_3	MYC	neutral
jusakul_CCA_JP_4	MYC	neutral
jusakul_CCA_CH_1	MYC	neutral
jusakul_CCA_CH_2	MYC	neutral
jusakul_CCA_CH_3	MYC	neutral
jusakul_CCA_CH_4	MYC	neutral
jusakul_CCA_CH_5	MYC	neutral
jusakul_CCA_CH_6	MYC	amp
jusakul_CCA_CH_7	MYC	neutral
jusakul_CCA_CH_8	MYC	neutral
jusakul_CCA_RO_1	MDM2	neutral
jusakul_CCA_TH_2	MDM2	amp
jusakul_CCA_TH_6	MDM2	neutral
jusakul_CCA_TH_15	MDM2	neutral
jusakul_CCA_TH_22	MDM2	neutral
jusakul_CCA_SG_18	MDM2	neutral
jusakul_CCA_TH_3	MDM2	neutral
jusakul_CCA_TH_7	MDM2	neutral
jusakul_CCA_TH_10	MDM2	neutral
jusakul_CCA_TH_20	MDM2	neutral
jusakul_CCA_TH_21	MDM2	amp
jusakul_CCA_TH_1	MDM2	neutral
jusakul_CCA_TH_5	MDM2	neutral
jusakul_CCA_TH_8	MDM2	neutral
jusakul_CCA_TH_11	MDM2	neutral
jusakul_CCA_SG_17	MDM2	neutral
jusakul_CCA_TH_12	MDM2	neutral
jusakul_CCA_TH_13	MDM2	neutral
jusakul_CCA_TH_4	MDM2	neutral
jusakul_CCA_TH_16	MDM2	amp
jusakul_CCA_SG_5	MDM2	amp
jusakul_CCA_RO_5	MDM2	amp
jusakul_CCA_SG_16	MDM2	neutral
jusakul_CCA_SG_14	MDM2	neutral
jusakul_CCA_SG_19	MDM2	amp
jusakul_CCA_SG_6	MDM2	neutral
jusakul_CCA_SG_4	MDM2	neutral
jusakul_CCA_SG_8	MDM2	neutral
jusakul_CCA_SG_15	MDM2	neutral
jusakul_CCA_RO_2	MDM2	neutral
jusakul_CCA_SG_12	MDM2	neutral
jusakul_CCA_SG_11	MDM2	neutral
jusakul_CCA_RO_3	MDM2	neutral
jusakul_CCA_SG_13	MDM2	amp
jusakul_CCA_IT_1	MDM2	neutral
jusakul_CCA_IT_4	MDM2	neutral
jusakul_CCA_IT_3	MDM2	neutral
jusakul_CCA_RO_4	MDM2	neutral
jusakul_CCA_RO_6	MDM2	neutral
jusakul_CCA_IT_2	MDM2	neutral
jusakul_CCA_RO_7	MDM2	neutral
jusakul_CCA_SG_10	MDM2	neutral
jusakul_CCA_SG_20	MDM2	neutral
jusakul_CCA_TH_19	MDM2	neutral
jusakul_CCA_SG_2	MDM2	neutral
jusakul_CCA_SG_3	MDM2	amp
jusakul_CCA_SG_1	MDM2	neutral
jusakul_CCA_SG_9	MDM2	neutral
jusakul_CCA_SG_7	MDM2	neutral
jusakul_CCA_TH_14	MDM2	neutral
jusakul_CCA_TH_18	MDM2	amp
jusakul_CCA_TH_9	MDM2	neutral
jusakul_CCA_TH_17	MDM2	del
jusakul_CCA_JP_5	MDM2	neutral
jusakul_CCA_JP_6	MDM2	neutral
jusakul_CCA_JP_1	MDM2	neutral
jusakul_CCA_JP_7	MDM2	neutral
jusakul_CCA_JP_8	MDM2	neutral
jusakul_CCA_JP_2	MDM2	neutral
jusakul_CCA_JP_10	MDM2	neutral
jusakul_CCA_JP_9	MDM2	neutral
jusakul_CCA_JP_3	MDM2	neutral
jusakul_CCA_JP_4	MDM2	neutral
jusakul_CCA_CH_1	MDM2	neutral
jusakul_CCA_CH_2	MDM2	neutral
jusakul_CCA_CH_3	MDM2	neutral
jusakul_CCA_CH_4	MDM2	neutral
jusakul_CCA_CH_5	MDM2	neutral
jusakul_CCA_CH_6	MDM2	neutral
jusakul_CCA_CH_7	MDM2	neutral
jusakul_CCA_CH_8	MDM2	neutral
jusakul_CCA_RO_1	EGFR	neutral
jusakul_CCA_TH_2	EGFR	neutral
jusakul_CCA_TH_6	EGFR	neutral
jusakul_CCA_TH_15	EGFR	neutral
jusakul_CCA_TH_22	EGFR	amp
jusakul_CCA_SG_18	EGFR	neutral
jusakul_CCA_TH_3	EGFR	amp
jusakul_CCA_TH_7	EGFR	neutral
jusakul_CCA_TH_10	EGFR	neutral
jusakul_CCA_TH_20	EGFR	neutral
jusakul_CCA_TH_21	EGFR	neutral
jusakul_CCA_TH_1	EGFR	amp
jusakul_CCA_TH_5	EGFR	neutral
jusakul_CCA_TH_8	EGFR	neutral
jusakul_CCA_TH_11	EGFR	neutral
jusakul_CCA_SG_17	EGFR	neutral
jusakul_CCA_TH_12	EGFR	neutral
jusakul_CCA_TH_13	EGFR	amp
jusakul_CCA_TH_4	EGFR	neutral
jusakul_CCA_TH_16	EGFR	neutral
jusakul_CCA_SG_5	EGFR	neutral
jusakul_CCA_RO_5	EGFR	neutral
jusakul_CCA_SG_16	EGFR	amp
jusakul_CCA_SG_14	EGFR	neutral
jusakul_CCA_SG_19	EGFR	neutral
jusakul_CCA_SG_6	EGFR	neutral
jusakul_CCA_SG_4	EGFR	neutral
jusakul_CCA_SG_8	EGFR	neutral
jusakul_CCA_SG_15	EGFR	neutral
jusakul_CCA_RO_2	EGFR	neutral
jusakul_CCA_SG_12	EGFR	neutral
jusakul_CCA_SG_11	EGFR	neutral
jusakul_CCA_RO_3	EGFR	amp
jusakul_CCA_SG_13	EGFR	neutral
jusakul_CCA_IT_1	EGFR	neutral
jusakul_CCA_IT_4	EGFR	neutral
jusakul_CCA_IT_3	EGFR	neutral
jusakul_CCA_RO_4	EGFR	neutral
jusakul_CCA_RO_6	EGFR	neutral
jusakul_CCA_IT_2	EGFR	neutral
jusakul_CCA_RO_7	EGFR	neutral
jusakul_CCA_SG_10	EGFR	amp
jusakul_CCA_SG_20	EGFR	amp
jusakul_CCA_TH_19	EGFR	neutral
jusakul_CCA_SG_2	EGFR	neutral
jusakul_CCA_SG_3	EGFR	neutral
jusakul_CCA_SG_1	EGFR	neutral
jusakul_CCA_SG_9	EGFR	neutral
jusakul_CCA_SG_7	EGFR	neutral
jusakul_CCA_TH_14	EGFR	amp
jusakul_CCA_TH_18	EGFR	neutral
jusakul_CCA_TH_9	EGFR	neutral
jusakul_CCA_TH_17	EGFR	neutral
jusakul_CCA_JP_5	EGFR	neutral
jusakul_CCA_JP_6	EGFR	neutral
jusakul_CCA_JP_1	EGFR	neutral
jusakul_CCA_JP_7	EGFR	neutral
jusakul_CCA_JP_8	EGFR	neutral
jusakul_CCA_JP_2	EGFR	neutral
jusakul_CCA_JP_10	EGFR	neutral
jusakul_CCA_JP_9	EGFR	neutral
jusakul_CCA_JP_3	EGFR	neutral
jusakul_CCA_JP_4	EGFR	amp
jusakul_CCA_CH_1	EGFR	neutral
jusakul_CCA_CH_2	EGFR	neutral
jusakul_CCA_CH_3	EGFR	neutral
jusakul_CCA_CH_4	EGFR	neutral
jusakul_CCA_CH_5	EGFR	neutral
jusakul_CCA_CH_6	EGFR	neutral
jusakul_CCA_CH_7	EGFR	amp
jusakul_CCA_CH_8	EGFR	neutral
jusakul_CCA_RO_1	CCND1	neutral
jusakul_CCA_TH_2	CCND1	neutral
jusakul_CCA_TH_6	CCND1	neutral
jusakul_CCA_TH_15	CCND1	neutral
jusakul_CCA_TH_22	CCND1	neutral
jusakul_CCA_SG_18	CCND1	neutral
jusakul_CCA_TH_3	CCND1	neutral
jusakul_CCA_TH_7	CCND1	neutral
jusakul_CCA_TH_10	CCND1	neutral
jusakul_CCA_TH_20	CCND1	neutral
jusakul_CCA_TH_21	CCND1	neutral
jusakul_CCA_TH_1	CCND1	neutral
jusakul_CCA_TH_5	CCND1	neutral
jusakul_CCA_TH_8	CCND1	amp
jusakul_CCA_TH_11	CCND1	neutral
jusakul_CCA_SG_17	CCND1	neutral
jusakul_CCA_TH_12	CCND1	neutral
jusakul_CCA_TH_13	CCND1	neutral
jusakul_CCA_TH_4	CCND1	neutral
jusakul_CCA_TH_16	CCND1	neutral
jusakul_CCA_SG_5	CCND1	neutral
jusakul_CCA_RO_5	CCND1	neutral
jusakul_CCA_SG_16	CCND1	neutral
jusakul_CCA_SG_14	CCND1	amp
jusakul_CCA_SG_19	CCND1	amp
jusakul_CCA_SG_6	CCND1	neutral
jusakul_CCA_SG_4	CCND1	amp
jusakul_CCA_SG_8	CCND1	neutral
jusakul_CCA_SG_15	CCND1	neutral
jusakul_CCA_RO_2	CCND1	neutral
jusakul_CCA_SG_12	CCND1	neutral
jusakul_CCA_SG_11	CCND1	neutral
jusakul_CCA_RO_3	CCND1	neutral
jusakul_CCA_SG_13	CCND1	neutral
jusakul_CCA_IT_1	CCND1	amp
jusakul_CCA_IT_4	CCND1	neutral
jusakul_CCA_IT_3	CCND1	neutral
jusakul_CCA_RO_4	CCND1	neutral
jusakul_CCA_RO_6	CCND1	neutral
jusakul_CCA_IT_2	CCND1	neutral
jusakul_CCA_RO_7	CCND1	neutral
jusakul_CCA_SG_10	CCND1	neutral
jusakul_CCA_SG_20	CCND1	neutral
jusakul_CCA_TH_19	CCND1	neutral
jusakul_CCA_SG_2	CCND1	neutral
jusakul_CCA_SG_3	CCND1	neutral
jusakul_CCA_SG_1	CCND1	amp
jusakul_CCA_SG_9	CCND1	amp
jusakul_CCA_SG_7	CCND1	neutral
jusakul_CCA_TH_14	CCND1	neutral
jusakul_CCA_TH_18	CCND1	neutral
jusakul_CCA_TH_9	CCND1	neutral
jusakul_CCA_TH_17	CCND1	neutral
jusakul_CCA_JP_5	CCND1	neutral
jusakul_CCA_JP_6	CCND1	neutral
jusakul_CCA_JP_1	CCND1	neutral
jusakul_CCA_JP_7	CCND1	neutral
jusakul_CCA_JP_8	CCND1	neutral
jusakul_CCA_JP_2	CCND1	neutral
jusakul_CCA_JP_10	CCND1	neutral
