input_maf	final_maf	input_build	coverage	bed	kit	covered_regions_name	covered_regions_padding
data_sources/Borad/borad_Nextera.maf.gz	final_mafs/borad_Nextera.final.maf.gz	hg19	exome	Nextera_Rapid_Capture_hg38.bed.gz	Nextera_RC	Nextera_RC	0
data_sources/Borad/borad_SureSelectV1.maf.gz	final_mafs/borad_SureSelectV1.final.maf.gz	hg19	exome	SureSelect_Human_All_Exon_V1_target_regions_hg38.bed.gz	SureSelect_V1	SureSelect_V1_ip100	100
data_sources/Borad/borad_SureSelectV4-UTR.maf.gz	final_mafs/borad_SureSelectV4-UTR.final.maf.gz	hg19	exome	SureSelect_Human_All_Exon_V4_UTR_target_regions_hg38.bed.gz	SureSelect_V4_UTR	SureSelect_V4_UTR_ip100	100
data_sources/Borad/borad_Truseq.maf.gz	final_mafs/borad_Truseq.final.maf.gz	hg19	exome	TruSeq_Exome_Enrichment_targeted_regions_hg38.bed.gz	TruSeq_EE	TruSeq_EE_ip100	100
data_sources/Jusakul_Nakamura_ICGC/nakamura_wxs_SureSelectV4-UTR.maf.gz	final_mafs/nakamura_wxs_SureSelectV4-UTR.final.maf.gz	hg19	exome	SureSelect_Human_All_Exon_V4_UTR_target_regions_hg38.bed.gz	SureSelect_V4_UTR	SureSelect_V4_UTR_ip100	100
data_sources/Jusakul_Nakamura_ICGC/nakamura_wxs_SureSelectV5-UTR.maf.gz	final_mafs/nakamura_wxs_SureSelectV5-UTR.final.maf.gz	hg19	exome	SureSelect_V5+UTR_hg38.bed.gz	SureSelect_V5_UTR	SureSelect_V5_UTR_ip100	100
data_sources/Jusakul_Nakamura_ICGC/btca_sg_wgs_jusakul.maf.gz	final_mafs/btca_sg_wgs_jusakul.final.maf.gz	hg19	genome	NA	NA	NA	NA
data_sources/Chan-on/chan-on_SureSelectV1.maf.gz	final_mafs/chan-on_SureSelectV1.final.maf.gz	hg19	exome	SureSelect_Human_All_Exon_V1_target_regions_hg38.bed.gz	SureSelect_V1	SureSelect_V1	0
data_sources/Chan-on/chan-on_SureSelectV4-UTR.maf.gz	final_mafs/chan-on_SureSelectV4-UTR.final.maf.gz	hg19	exome	SureSelect_Human_All_Exon_V4_UTR_target_regions_hg38.bed.gz	SureSelect_V4_UTR	SureSelect_V4_UTR	0
data_sources/Gao/gao_CCA.maf.gz	final_mafs/gao_CCA.final.maf.gz	hg19	exome	TruSeq_Exome_Enrichment_targeted_regions_hg38.bed.gz	TruSeq_EE	TruSeq_EE	0
data_sources/Jiao/jiao.maf.gz	final_mafs/jiao.final.maf.gz	hg38	exome	SureSelect_V2_hg38.bed.gz	SureSelect_V2	SureSelect_V2_ip100	100
data_sources/Jusakul_Nakamura_ICGC/jusakul_tgs.maf.gz	final_mafs/jusakul_tgs.final.maf.gz	hg19	targeted	jusakul_tgs_hg38.bed.gz	Jusakul_TGS	Jusakul_TGS	0
data_sources/MSK/MSK_2021_IHCH_IMPACT341.maf.gz	final_mafs/MSK_2021_IHCH_IMPACT341.final.maf.gz	hg19	targeted	IMPACT341_b37_targets_hg38.bed.gz	MSK341	MSK341_ip100	100
data_sources/MSK/MSK_2021_IHCH_IMPACT410.maf.gz	final_mafs/MSK_2021_IHCH_IMPACT410.final.maf.gz	hg19	targeted	IMPACT410_b37_targets_hg38.bed.gz	MSK410	MSK410_ip100	100
data_sources/MSK/MSK_2021_IHCH_IMPACT468.maf.gz	final_mafs/MSK_2021_IHCH_IMPACT468.final.maf.gz	hg19	targeted	IMPACT468_b37_targets_hg38.bed.gz	MSK468	MSK468_ip100	100
data_sources/Nepal/nepal.maf.gz	final_mafs/nepal.final.maf.gz	hg19	exome	SureSelect_Human_All_Exon_V4_UTR_target_regions_hg38.bed.gz	SureSelect_V4	SureSelect_V4_ip100	100
data_sources/Sia/sia_CCA.maf.gz	final_mafs/sia_CCA.final.maf.gz	hg19	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3	0
data_sources/TCGA/TCGA-CHOL.maf.gz	final_mafs/TCGA-CHOL.final.maf.gz	hg38	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3	0
data_sources/Wardell/wardell.maf.gz	final_mafs/wardell.final.maf.gz	hg19	exome	Nextera_Rapid_Capture_hg38.bed.gz	Nextera_RC	Nextera_RC	0
data_sources/Yale/yale_CCA.maf.gz	final_mafs/yale_CCA.final.maf.gz	hg19	exome	SeqCap_EZ_Exome_v2_targets_hg38.bed.gz	SeqCap_v2	SeqCap_v2	0
data_sources/Zhang/zhang.maf.gz	final_mafs/zhang.final.maf.gz	hg19	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3_ip100	100
data_sources/Zou/zou.maf.gz	final_mafs/zou.final.maf.gz	hg19	exome	SeqCap_EZ_Exome_v3_target_regions_hg38.bed.gz	SeqCap_v3	SeqCap_v3	0
