Unique_Patient_Identifier	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22a	SBS22b	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS98	SBS99	SBS1_prop	SBS2_prop	SBS3_prop	SBS4_prop	SBS5_prop	SBS6_prop	SBS7a_prop	SBS7b_prop	SBS7c_prop	SBS7d_prop	SBS8_prop	SBS9_prop	SBS10a_prop	SBS10b_prop	SBS10c_prop	SBS10d_prop	SBS11_prop	SBS12_prop	SBS13_prop	SBS14_prop	SBS15_prop	SBS16_prop	SBS17a_prop	SBS17b_prop	SBS18_prop	SBS19_prop	SBS20_prop	SBS21_prop	SBS22a_prop	SBS22b_prop	SBS23_prop	SBS24_prop	SBS25_prop	SBS26_prop	SBS27_prop	SBS28_prop	SBS29_prop	SBS30_prop	SBS31_prop	SBS32_prop	SBS33_prop	SBS34_prop	SBS35_prop	SBS36_prop	SBS37_prop	SBS38_prop	SBS39_prop	SBS40a_prop	SBS40b_prop	SBS40c_prop	SBS41_prop	SBS42_prop	SBS43_prop	SBS44_prop	SBS45_prop	SBS46_prop	SBS47_prop	SBS48_prop	SBS49_prop	SBS50_prop	SBS51_prop	SBS52_prop	SBS53_prop	SBS54_prop	SBS55_prop	SBS56_prop	SBS57_prop	SBS58_prop	SBS59_prop	SBS60_prop	SBS84_prop	SBS85_prop	SBS86_prop	SBS87_prop	SBS88_prop	SBS89_prop	SBS90_prop	SBS91_prop	SBS92_prop	SBS93_prop	SBS94_prop	SBS95_prop	SBS96_prop	SBS97_prop	SBS98_prop	SBS99_prop
TCGA-3X-AAV9	2.71998293667098	5.8206640832224	0.00675192932344186	0	0.324329129589534	0	0	0	0	0	0	0	0	0	0.150649747921364	0.409708651970614	0	0.302079271747849	6.69479718769061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.470666000256268	0	0	0	0	0	0	0	0.172829134405553	0.0319389163650557	0.677661897352363	0	1.75771780765869	0	0	0.161172889047398	0.646291597676561	0	0	2.49564641891502	0.243910918460246	0	1.69849329520805	0	2.31867696927874	0.123054779514444	0.895362290879337	0	0.0777992263669536	0	0	0	0	1.80653709621822	5.72418206321251	0	0	0	0	0	0	0	0	1.96299511583159	6.85352803285783	0.117644931894628	0.00423299401602556	0.0608915432550002	0.130305677295959	0.000151153667513907	0	0.00726067099796906	0	0	0	0	0	0	0	0	0	0.00337255631946572	0.00917203992976162	0	0.00676256927721239	0.14987466540384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105366760676592	0	0	0	0	0	0	0	0.00386908041646033	0.000715008127860134	0.0151706388222421	0	0.0393495666726971	0	0	0.0036081351146175	0.0144683601667851	0	0	0.0558693805824166	0.00546036963745315	0	0.0380237230752889	0	0.0519076120168646	0.00275479501305586	0.0200442403255305	0	0.0017416708368498	0	0	0	0	0.0404424712571059	0.128145759667228	0	0	0	0	0	0	0	0	0.0439450558286617	0.153428131123824	0.00263368617597319	9.476292470439e-05
TCGA-3X-AAVA	2.70598078644683	0	1.98107677786875	0.335453909746124	0.826006665979028	0	0	0	0	0	0	0	0	0	0	0	0	2.57489989570377	0	0	0	0.124258430750289	0.722920144021658	0	0.0382908957030901	0	0	0	0.121346133752294	0	0	1.23951016894321	0	0	1.31154028795646	0	1.31410859755989	0	0	2.31914698721691	0	0	0	0	0	0	0	0	0.254544390760407	0.127704262843451	0	0.303857824849956	0	0	0.0150245874964499	1.42892626792147	0	2.39531325640902	0	0.424797861746371	0	0	0	2.1872451594621	0	0	0	0.0135917668534111	3.55774805009509	0	0	0	0.0486960624673428	2.16789118806358	0	0	0	0	0	0	0	0	6.55529194139732	1.88761145433575	0.0329285091410084	1.95679687060284	0.0694330656770754	0	0.0508326721010118	0.00860744964032731	0.0211945980458834	0	0	0	0	0	0	0	0	0	0	0	0	0.0660696463425563	0	0	0	0.00318836106539543	0.0185494893720388	0	0.000982510404176863	0	0	0	0.00311363410881622	0	0	0.0318047309865213	0	0	0.0336529599204531	0	0.0337188604657443	0	0	0.0595072536674078	0	0	0	0	0	0	0	0	0.0065313831827334	0.00327677805905444	0	0.00779672214044188	0	0	0.000385517582252232	0.0366649799973513	0	0.0614616125444854	0	0.010899936164309	0	0	0	0.0561227698176717	0	0	0	0.000348752676045261	0.0912886577990465	0	0	0	0.00124949774974185	0.0556261640864129	0	0	0	0	0	0	0	0	0.16820297401191	0.048434434840829	0.000844916323606993	0.0502096712267
TCGA-3X-AAVB	4.46742666102122	1.32375120895946	0.0448810273594476	0.460695747824614	0.228023078975658	0	0	0	0	0	0	0	0	0	0	0	0	0.480028131822393	0.94459962473956	0	0	0	0	0	0.282110929731075	0	0	0	0.0769647826315836	0.00549435796037994	0	0.458886317890902	0	0	0	0	1.41051311215839	0	0	0	0	0	0	0	0	0	0	0.0051956378672851	1.73219405378896	0	0	5.64240608652215	0	0	0.0541413148099585	0	0	0	0	0.42774384636973	0	1.19504934946134	0	0	0.53095825826073	0	0	0	0	0	0	0	0.370561335592001	0.0790049261415486	0	0	0	0	0	0	0	0.00486943136211411	0.482801176668296	0	0.0041987922091142	2.05473914279559	0.196221719810475	0.0581428098393998	0.00197129870136887	0.0202350298744141	0.0100154035215556	0	0	0	0	0	0	0	0	0	0	0	0	0.021084161583543	0.0414894248888141	0	0	0	0	0	0.0123910913394848	0	0	0	0.00338050586136684	0.0002413273792823	0	0.0201555547133405	0	0	0	0	0.0619536322997358	0	0	0	0	0	0	0	0	0	0	0.00022820676760658	0.0760827478703929	0	0	0.247830061951902	0	0	0.00237803610689423	0	0	0	0	0.0187876913358953	0	0.0524898686431014	0	0	0.0233211534265408	0	0	0	0	0	0	0	0.0162760775010703	0.00347011460003475	0	0	0	0	0	0	0	0.000213878876783772	0.0212059613734583	0	0.000184422552604563	0.0902498191809346
TCGA-3X-AAVE	4.73011559722762	3.93271014244463	0.0465842525983143	0	6.82843109326181	0	0	0	0	0	0	0	0	0	0	0	0	0.158677095540084	0.3921671940269	0	0	10.2356559069093	0.733336622209854	0.972218566460815	0	0	0	0	0	0.00509027989872374	0	0.0950534256644714	0	0	0.0269861222664178	0	0	0	0	0.00314170057592764	0	0	0	0	0	0	0	0.118479454370063	0.0824809441294252	0.104216464217885	0	0.970052878011888	0	0	0.37394804721394	1.61729753697973	0.0198354138812309	0	0	0	0.305358036899779	1.01411212043798	0	0.68742860154634	0	0	1.10782557972073	0.612751848701962	0	0	0	0	0	6.81162342516479	0	0	0	0	0	0	0	0	0.00670622195834438	0.0702321788156807	0.00474353341139074	1.59922714336614	0.108323702588545	0.0900624340104533	0.00106681932397743	0	0.156376926459557	0	0	0	0	0	0	0	0	0	0	0	0	0.00363384153126673	0.00898096497169181	0	0	0.234405295910441	0.0167940373821114	0.0222646387132884	0	0	0	0	0	0.000116571773883282	0	0.00217680494272393	0	0	0.000618005336723464	0	0	0	0	7.19476367572315e-05	0	0	0	0	0	0	0	0.00271328108462256	0.00188888433642827	0.00238664638162007	0	0.0222150425910333	0	0	0.00856373088930683	0.0370375002030948	0.000454247983971155	0	0	0	0.0069929608467795	0.0232240370172241	0	0.0157427043492151	0	0	0.0253701555809729	0.0140325426842161	0	0	0	0	0	0.155992016449913	0	0	0	0	0	0	0	0	0.000153578232492721	0.00160837710914177	0.000108630982036779	0.0366236726965103
TCGA-4G-AAZF	6.69692944025161	2.07730163657735	4.00945491907735	0.123537566528204	0.491362473064329	0	0	0	0	0	0	0	0	0	0.71176690915558	0	0	0.016103788424295	0	0	0	0.0637326359461657	1.18262056282248	0	0.0113345252673452	0	0	0	0.00623783170873392	0	0	0.713017350677682	0	0	1.17624657888014	0	0	0	0	0	0	0	0	0	0	0	0	2.63931947049808	1.2825279748955	0.695810180722327	0	6.76144972416016	0	0	0.0207233682878186	0	0	0	0	0.152691286658433	0	0	0	1.25503306989228	0	2.09407801608625	1.24743179172987	0	0	0	0	0	0.96215965618182	5.4885966289298	0	0	0	0	0	0	0	0	0.00680862373684338	0.0248484592175777	0.00918393495283282	4.0043028963305	0.152464170813295	0.0472924307140328	0.0912803733568153	0.00281249083076903	0.0111864956459371	0	0	0	0	0	0	0	0	0	0.0162042847524268	0	0	0.000366623356415507	0	0	0	0.00145095503543377	0.0269238708733814	0	0.000258044975964866	0	0	0	0.000142012223307711	0	0	0.0162327526542494	0	0	0.0267787589702	0	0	0	0	0	0	0	0	0	0	0	0	0.0600874860891107	0.0291983909912527	0.0158410094049449	0	0.153933057662786	0	0	0.000471794005095877	0	0	0	0	0.00347621258645341	0	0	0	0.0285724342852268	0	0.0476743664674096	0.0283993814581823	0	0	0	0	0	0.0219047961425519	0.124954927691009	0	0	0	0	0	0	0	0	0.000155007034444511	0.000565706980250582	0.000209084034687737	0.091163080964366
TCGA-4G-AAZG	11.3825933043768	14.8427978314383	0	0	5.66309535811876	0	0	0	0	0	0	0	0	0	0.0124154151739933	0	0	0.056578419996389	11.1070169045803	0	0	0	0.503379035134092	0	0	0	0	0	0.46116699212438	0.0965323487849211	0	0.284544676846126	0	0	0	0	0	0	0	0.00324177543150619	0	0	0	0	0	0.00226943350471664	0	1.0438231899022	0.0110758028530154	0.321623158491738	0	5.99832320679162	0	0	0.0422725221608561	0.551977920039575	0.172823019887893	0.397747942381697	0	0.0439241503921621	0	0.279423299165375	0	2.52494756190249	0	0	0	0.455037695169715	5.88480607937279	0	0	0	0.0477316003669655	6.40728487310749	0	0	0	0	0	0	0	0.0142097775969586	0.0129002403954702	0.00459571404916987	7.69845805412377	1.25463455109249	0.146714568315421	0.191314458682732	0	0	0.0729937869673321	0	0	0	0	0	0	0	0	0	0.000160027001668306	0	0	0.000729260744346105	0.143162559431952	0	0	0	0.006488243571905	0	0	0	0	0	0.00594415651702441	0.00124424210737702	0	0.00366760441259709	0	0	0	0	0	0	0	4.1784474793287e-05	0	0	0	0	0	2.9251590394346e-05	0	0.0134542335484516	0.000142760229665944	0.00414552304528122	0	0.0773146660315462	0	0	0.000544866593630234	0.00711465305776242	0.00222758154313307	0.00512672429774321	0	0.000566155057207373	0	0.00360159303052279	0	0.0325450081240411	0	0	0	0.00586515368061146	0.0758515006613792	0	0	0	0.000615230726037696	0.0825859282761542	0	0	0	0	0	0	0	0.000183155220453523	0.000166276098089072	5.92359038748939e-05	0.0992283498059134	0.0161714612509584
TCGA-4G-AAZO	2.26107147810141	1.04596553767531	0	0	0.0722578726419939	0	0	0	0	0	0	0	0	0	0	0	0	0.924648460482952	0	0	0	1.25255954056618	1.25205364521026	0	0.96368466343257	0	0	0	0.421301443615659	0.0731592480281432	0	0.00911755333733423	0	0	0.0043002844110503	0	2.452990372169	0	0	0.738799176233375	0	0	0	0	0	0	0	3.4969879143723	0.0413243889168075	1.46382873011596	0	0	0	0	0.117054390218014	1.41663202222282	0.180551317519078	0	0	2.05041346412101	2.69449708343766	0.685821801358781	0	3.47813416552791	0	0	0	0.577575955088775	3.0361409229666	0	0	0	1.19367346211761	1.41823351271557	0	0	0	0	0	0	0	0.234433757294716	2.10871325288715	1.61757278813086	0	5.80119316158494	0.0524796953717854	0.0242769648453033	0	0	0.00167711245804987	0	0	0	0	0	0	0	0	0	0	0	0	0.0214611833381233	0	0	0	0.0290720323353654	0.0290602904535073	0	0.0223672175166568	0	0	0	0.0097784486845186	0.00169803347100275	0	0.000211619325754834	0	0	9.98100316994207e-05	0	0.0569341521168745	0	0	0.0171476028445637	0	0	0	0	0	0	0	0.0811654395902485	0.000959143203911565	0.0339756113758328	0	0	0	0	0.00271684411575066	0.0328801710605787	0.00419061415534374	0	0	0.0475903017774709	0.0625395470636382	0.0159179926699441	0	0.0807278421920447	0	0	0	0.0134055957410859	0.0704691347824574	0	0	0	0.0277052805592495	0.0329173418152473	0	0	0	0	0	0	0	0.00544123097692624	0.0489434457113616	0.0375440263543008	0	0.134646274061402
TCGA-4G-AAZR	0.282659615477916	4.29808838023413	0	0.361416737506796	0	0	0	0	0	0	0	0.69841588810912	0	0	0	0	0	0	0	0	0	0	0	1.4154438230899	0.54126613641779	0	0	0	0	0	0	2.34118627801231	0	0	0	0	4.58975893650408	0	0	0.324513486856041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00198688407008325	0	0	0	0	2.60496141476704	0	0.87321003512386	0	0	0	0	0	0.0547772990820154	0	0	0	0	0.0308399131361824	11.2689711930919	0	0	0	0	0	0	0	0	0	3.78918687515685	0.415192529959977	0.00733284898948616	0.0083382364915434	0.126790229001592	0	0.0106615096898028	0	0	0	0	0	0	0	0.0206027197576802	0	0	0	0	0	0	0	0	0	0	0	0.0417544802693613	0.0159669255994871	0	0	0	0	0	0	0.0690631550736971	0	0	0	0	0.135394281164073	0	0	0.00957289280085516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86115184145532e-05	0	0	0	0	0.0768443142857456	0	0.0257590097097564	0	0	0	0	0	0.00161588726900936	0	0	0	0	0.000909753197935117	0.332425793000242	0	0	0	0	0	0	0	0	0	0.111778034588668	0.0122478533004266	0.000216313281710693
TCGA-4G-AAZT	8.1579217314901	0.579250291888616	0	0	0.986153680434444	0	0	0	0	0	0	0.00195251356129179	0	0	0.0169621742989508	0.799331089808627	0	0	1.96752836687211	0	0	2.43712909583225	0.0128960495673519	0	0	0	0	0	0	0.392879983926945	0	0.0304866100769878	0	0	0	0	0	0	0	1.60472379859799	0	0	0	0	0	0	0	0	2.5995707653876	0	0	6.81959514057729	1.28891293757363	0	0	0.112994127354349	0.315286029766278	0	0	0.257477348108885	0.016268369290276	2.25610355094974	0	0	0.32143115479485	0.661849234142447	0	0.141899243083257	0	0.819711686800567	0	0	1.41445802575949	0.265081321482442	0	0	0	0	0	0	0	0	1.14154239232308	1.03551561718258	0.0881187371013109	1.00437247376457	0.217269929794442	0.0154271730465673	0	0	0.0262642310096528	0	0	0	0	0	0	5.2001293754393e-05	0	0	0.000451753588768615	0.0212885849461948	0	0	0.0524011830720019	0	0	0.0649080593047987	0.000343460488632612	0	0	0	0	0	0	0.0104635726273212	0	0.000811949887375026	0	0	0	0	0	0	0	0.042738608990941	0	0	0	0	0	0	0	0	0.0692343682964315	0	0	0.181626277646219	0.0343276183169043	0	0	0.00300937259825602	0.00839701284311969	0	0	0.00685739422227314	0.000433275479945394	0.0600868059608492	0	0	0.00856067595824643	0.0176270306788502	0	0.00377920254659667	0	0.0218313813866797	0	0	0.0376712606554777	0.00705991084542904	0	0	0	0	0	0	0	0	0.0304026985794716	0.027578887473	0.00234686632867213	0.0267494521331279
TCGA-W5-AA2G	0.173785316003219	0.594857390438604	0.030745881475708	0.188537027320285	0	0	0	0	0	0	0	0	0	0	0.0715358478224802	1.83386722753092	0	0	0	0	0	0	0	1.05857700111245	0	0	0	0	0.511255876007225	0	0	4.75896497156569	0	0	0	0	0.274974011504644	0	0	0	0	0	0	0	0	0	0	0.416672883757173	0	0	0	2.01066605404094	0.00870426289100175	0	0.111448449907175	0.660431248390361	0	0	0	5.18141000855515	0.355396769146312	1.39263090443625	0	0.258551230360041	0	2.15506370810597	3.07005654476145	0	0	0	0	0	0.387032073139947	18.2279436893227	0	0	0	0	0	0	0	0.0218757518398305	0.0352933045156929	1.73002841785551	0	0	0.00381775369807453	0.0130679568009755	0.00067543222525355	0.00414182250738989	0	0	0	0	0	0	0	0	0	0	0.00157151509604018	0.0402867949416059	0	0	0	0	0	0	0	0.023255050274897	0	0	0	0	0.0112313805111864	0	0	0.104545979700987	0	0	0	0	0.00604068901469672	0	0	0	0	0	0	0	0	0	0	0.0091535607232884	0	0	0	0.0441707500952815	0.000191217144263899	0	0.00244832383749794	0.0145084976041335	0	0	0	0.11382634434451	0.00780743368252667	0.0305936192294054	0	0.00567990977920416	0	0.0473429092309237	0.0674436712871865	0	0	0	0	0	0.00850240493550168	0.400435439706063	0	0	0	0	0	0	0	0.00048057128418794	0.000775331005696486	0.0380056413392232	0	0
