variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
APC,ARID1A,454.96765800128,441.093520663951,0.001,3415.91315687026,0.895380565257143,0.618579788744451,0.0538872394849102,5.66530984384303,1.743006746094,3.2503086155798,442.423033157653,471.442288937198,24,63,5,1113,1205,308.872623944389,641.359597648285,340.926166018115,559.175693755794,,2744.87331111971,1194.28015561703,7705.9530349085
APC,ARID1B,446.937641410745,328.077046271651,0.001,1240.15309806592,0.975524074720847,0.944794125290952,0.835872850352017,1.10139047327168,0.607299635645117,1.81358658663067,442.423033156315,338.935858017766,28,22,1,1154,1205,303.369349992864,629.915669497739,209.374836345998,484.903521590265,,5143.3399205587,70.318542195109,5589.37422928334
APC,ARID2,446.637037187767,377.854647131656,0.001,13192.8808464835,0.965669808229068,0.475685745698275,5.15551449175719e-06,8.06188708874057,0.743202570108313,10.847496245291,442.423033160837,493.972273815249,22,22,7,1154,1205,303.170528117047,629.498705464363,241.14297556619,558.473625885515,,8702.7935195372,5484.12419012682,27113.8196969356
APC,ATM,449.688662482115,449.511149102289,0.001,3391.14101438296,0.941183988350011,0.780384731689665,0.179610614761179,3.50994169772748,1.06465250490466,3.29679560378417,442.423033158988,480.868882920996,26,37,3,1139,1205,305.238842290619,633.802842212746,319.784678653241,610.324891101556,,4133.22130156861,829.778300567672,9125.1355603536
APC,BAP1,452.928610935545,492.808838673103,0.001,1854.73906913089,0.876543871469934,0.749204604418718,0.647672260676099,2.32676214867055,1.30240347081735,1.7865140878428,442.423033162999,507.770285701785,27,48,2,1128,1205,307.435993980003,638.375252104407,366.207731587103,645.693336184722,,2486.78958026242,304.968346990057,5900.07745973912
APC,BRAF,449.656044048016,1422.68429005521,0.001,11506.2648730876,0.930065816898015,0.655475161095482,0.152018597315605,3.34432662548961,0.943574391110274,3.54431686255755,442.423033159688,1531.97140729095,26,34,3,1142,1205,305.217639447965,633.757027642457,996.466681333835,1955.95707408685,,4049.8212544668,2818.09025555219,30890.2629497035
APC,BRCA2,446.282323087131,363.226664445397,0.001,15082.7345292758,0.916732360322332,0.161175898551685,1.19604429335143e-05,6.80666337231695,0.538947890793975,12.6295389379656,442.423033158845,503.986021656672,23,15,6,1161,1205,302.928653924578,628.999835832279,209.018806036807,579.27634328294,,7408.18880507132,5828.41642222736,32231.8547495964
APC,ERBB2,446.418652780081,618.5967832374,0.001,2575.44225266153,0.990387336643799,0.958297437613479,0.808068792278279,1.04667284243006,0.527724384512395,1.98337024618857,442.423033159745,643.138961850383,28,19,1,1157,1205,303.020344487382,629.190615573232,380.473570260886,939.92500067625,,5869.75632494166,146.044957788746,11607.3806893107
APC,ERBB3,367.271306702597,991.792443475997,0.001,12076.7018284892,0.942514006969628,0.620057429576679,0.151874432593742,2.16781596508389,0.417823769993377,5.18835001923958,363.214518105551,1098.11287598391,19,17,2,1001,1039,231.736558018291,547.520926964156,591.876689747541,1540.75968326915,,5842.18172146426,1976.819352124,38917.5009009982
APC,ERBB4,435.82421176022,154.620415981491,1323.30438794243,1797.39629143965,1,1,0.0395795796054706,3.48399172075258,0.571902165620959,6.09193657619698,442.423033155992,172.383276129596,26,18,3,1158,1205,293.117504462483,617.975889910706,93.8856784909789,237.009235764267,,11762.846571157,94.7505558067511,5616.6397348018
APC,FBXW7,446.256300293835,528.456000841229,0.001,8880.55649204744,0.938198806072976,0.531282313576458,0.0294059324168908,3.43164073421486,0.520666558340554,6.59086065591006,442.423033159428,620.79162679598,26,16,3,1160,1205,302.91254775718,628.966554572339,309.964128929867,831.32202384046,,7200.49118673899,2170.54812392462,23956.8290098494
APC,FGFR2,447.472449512074,616.010869935055,0.001,2095.05978425945,0.975071152000119,0.938930914791848,0.870395295952956,1.08690388324285,0.661154584129081,1.64394819204739,442.423033159745,633.278852946173,28,25,1,1151,1205,303.736079521464,630.675010374519,404.99926184683,890.028515075115,,4511.75804854286,118.842211719408,9429.86795342964
APC,GNAS,448.164983036537,583.314203662862,0.001,3942.94898819796,0.945347954256098,0.738920670577324,0.35907406503594,2.35646894890962,0.775901980559989,3.03707041346756,442.423033162018,621.313290463009,27,26,2,1150,1205,304.205556310425,631.652795004619,386.851125338815,837.153299952007,,4596.75471265815,647.157705841682,12605.4260353553
APC,IDH2,448.567168320568,4650.18083337072,0.001,0.000999999999976353,0.673994690709642,0.684212598854187,0.461173357331469,8.95984664780049e-07,0.708244023328997,1.26507903387395e-06,442.423033158307,4594.53991802692,29,31,0,1145,1205,304.444832035486,632.148157380694,3200.2723104053,6486.64143511306,,2186.87016154691,,23632.6864449503
APC,KMT2C,447.748372175923,301.614471390551,0.001,4451.43982020021,0.943260081310008,0.634799257250826,0.0141115347723718,4.62160755781397,0.793869437351696,5.8216217180893,442.423033161923,344.553834226003,25,26,4,1150,1205,303.922480880054,631.066407995086,200.030067691223,432.864766587,,5919.59192893628,1354.10453032743,10789.9707478888
APC,KRAS,479.112365787428,8972.1077105835,0.001,35208.5870419911,0.609604230671654,0.31508149836041,0.225166567445479,6.86762955631548,3.90409987351815,1.75908142178923,442.423033156017,9236.07445443807,23,154,6,1022,1205,325.206141638823,675.364482999452,7627.13370900011,10465.8327462238,,974.122758940335,13561.0789241365,75713.8543517143
APC,MED12,447.807690402022,423.511130840059,0.001,2932.56288527818,0.949154789289497,0.803359740030525,0.352891656503525,2.0856447831597,0.670216007730198,3.11189938632337,442.423033160372,454.702430383344,27,23,2,1153,1205,303.962870763334,631.154534892359,273.154025213262,620.946975324137,,5030.9109933817,481.881849718174,9344.54089456146
APC,NF1,448.445552442246,390.327016723782,0.001,7866.28755601376,0.89594694489387,0.254838632134072,0.00140008653758604,5.74095534801984,0.78696179109858,7.29508778311283,442.423033162536,467.087253515267,24,24,5,1152,1205,304.394129688799,632.051453070816,254.2545170743,567.983503865489,,4944.09580205016,2747.55841940536,17808.7934871586
APC,NRAS,448.27957262751,4251.35378892737,0.001,0.001,0.684226958788229,0.740303075252363,0.506552451802028,9.38578654001258e-07,0.736787534024891,1.2738796609031e-06,442.423033158307,4208.59087605088,29,30,0,1146,1205,304.284482523809,631.814711863412,2905.77491434428,5959.39983102723,,2274.17257931272,,27314.9576805391
