variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
ADGRG4,AKAP6,379.258830646477,328.630103699127,4774.38727058801,3424.79208335474,0.910905431648102,0.933924140900518,0.00290199902519252,4.46317755177901,0.527907105622767,8.4544752367253,406.506872311261,374.654264467554,25,10,4,792,831,251.032729038367,544.227521202661,169.975956039277,559.273364122741,,17552.7772996662,,12927.9423974271
ADGRG4,ANK2,350.197401926834,526.968909913294,0.001,8634.30097938834,0.968937736983347,0.666277264896365,0.0340587178419994,3.59725671945747,0.604037571900724,5.95535259195548,345.966241453992,632.113398664713,17,14,3,631,665,218.264938402898,526.892550787853,296.862405754243,853.187106941995,,6420.8309321615,2091.24097910573,23815.9513988978
ADGRG4,ANK3,410.972946322477,311.614962966734,0.001,6649.58564114018,0.945570189846307,0.578333748673613,0.00154343399857183,5.39372422158036,0.798415461892831,6.75553578182626,406.506872312713,416.292828869221,24,14,5,788,831,278.956378074814,579.243934626671,175.546203827052,504.531165121743,,6206.58343177273,2315.20799373536,15155.8043792772
ADGRG4,APC,411.393229280955,459.54051931961,0.001,8170.12709333473,0.984677228746883,0.674772725742251,0.00284927547653249,6.18383269539855,1.03045270758903,6.00108345570464,406.506872313284,566.971238953331,24,20,5,782,831,279.233749917262,579.812743154093,286.412453142497,691.380337207295,,6170.09295049198,2853.11459388159,18509.4043773788
ADGRG4,APOB,412.404579517974,220.091749450422,0.001,3379.10859457835,0.952749881019178,0.612859070869333,0.00492407245099689,5.79794076040045,1.04824417489573,5.53109752408326,406.506872311583,266.398050209352,24,22,5,780,831,279.927910701677,581.262314690682,140.458021996858,325.30410677301,,4929.59027898571,1182.59074728105,7619.49767795827
ADGRG4,ARID1A,418.646884090663,460.627628524332,0.001,3637.79872199987,0.870101329289271,0.480566620229912,0.0504869307762101,5.84994548644851,1.82419839768821,3.20685814320531,406.506872309782,506.069205958996,24,44,5,758,831,284.160584767644,590.072514200953,337.565128741933,610.498541253626,,2346.14212166299,1274.24513429283,8187.61770850787
ADGRG4,ARID1B,411.231043726066,353.090681298203,0.001,1323.73454224071,0.939654550972293,0.870257123929332,0.809997881147812,1.18153301898295,0.663536270214284,1.78066078980338,406.506872309005,369.036760447101,28,16,1,786,831,279.134090692214,579.614775516358,207.101863602623,555.457419128303,,4035.90868694275,75.0724805648481,5964.60176937774
ADGRG4,ARID2,410.423846758473,440.147030048246,0.001,7212.37757254746,0.994984132188759,0.84135372975655,0.0115402198767582,4.73191300260542,0.782000808782919,6.05103338699868,406.506872311615,536.342781932213,25,17,4,785,831,278.606678260104,578.508280972418,262.646314342631,683.723576749516,,7287.73746433969,2196.17571407971,17461.0740241665
ADGRG4,ASTN1,411.070845131796,132.358467345007,0.001,2304.58144937609,0.933891430379272,0.459839030705128,0.00951576692727133,4.89945264348884,0.808661756676874,6.05871689001681,406.506872313311,165.248917626102,25,15,4,787,831,279.023525277625,579.38141929598,76.1643701182038,211.092748525755,,5519.10104819079,697.395880626598,5651.05739078355
ADGRG4,ATM,412.902992803829,434.149782359197,0.001,3575.96748655219,0.932108991046214,0.701423907005628,0.152337553556173,3.62021823922718,1.0483304732626,3.4533177576727,406.506872309512,481.255239500028,26,24,3,778,831,280.265290802037,581.965777765871,282.79716423389,631.761508642052,,3883.95528988962,875.619517500722,9606.41670858991
ADGRG4,BAP1,413.536097029913,369.765587291267,0.001,4007.04646357719,0.919451928078195,0.511913800007895,0.0379718973422025,4.52376164036046,1.05239073648946,4.29855706964004,406.506872310922,425.130873850804,25,24,4,778,831,280.694601140461,582.860056414753,240.858104070551,538.074541574941,,3750.1818268618,1219.59072030198,9700.13585776197
ADGRG4,BRAF,410.290227975203,802.828064845576,0.001,12343.2562668353,0.945110245853472,0.535845047203275,0.0384677487328466,3.50260548810372,0.593230763808898,5.90428835081797,406.506872310471,973.952310023987,26,13,3,789,831,278.495282583389,578.278850050435,441.635554211452,1321.67980868028,,6227.63977615865,3024.01256165382,33114.2664954265
ADGRG4,BRCA2,410.877726286094,475.832071416569,0.001,12950.0129716473,0.906205649119051,0.199522316277291,0.000498717714714412,5.85423952216525,0.675583902381587,8.66545147320374,406.506872311702,650.141178932552,24,13,5,789,831,278.892267695751,579.108477516037,261.755358213618,783.354012447016,,5475.8780844906,4536.62722947966,29140.5006359961
ADGRG4,CDH8,410.122555547069,117.506710237256,0.001,1575.88846255022,0.986617711509229,0.855362233001759,0.0566249651550243,3.69080546012815,0.732077437405644,5.04155062230537,406.506872312368,140.531928020519,26,14,3,788,831,278.381232021025,578.04025320185,66.1972775998472,190.250542303604,,7150.77712605356,384.051740299336,4282.02801618747
ADGRG4,CSMD3,417.136256982306,398.55869542948,0.001,4937.25995728682,0.932341493773977,0.571508565436648,0.00197181726765948,7.73603704655559,1.74052479321745,4.44465777028957,406.50687231111,463.903051893493,22,39,7,763,831,283.137607887266,587.947993851895,286.18096016228,537.086739485172,,3150.63961068176,2053.96717980851,10130.4643737318
ADGRG4,CTNNA2,412.182746785494,132.833470421231,0.001,2085.22464901236,0.890263995518598,0.317721101087197,0.0122824762381802,4.93157235678474,0.878024266788929,5.61666977021064,406.506872310537,161.7799439542,25,17,4,785,831,279.774083244679,580.951076430062,79.2706068757249,206.365671610475,,4222.55337891846,631.612683571306,5102.38641405647
ADGRG4,CUBN,411.466816754606,198.312756430028,0.001,6682.94522511568,0.901300997639485,0.196699732939651,1.00727540601953e-05,7.73569622213233,0.85593974473113,9.03766447317187,406.506872310309,293.478109558258,22,14,7,788,831,279.290903640143,579.941986546566,111.718933661088,321.082280266592,,5244.35117053886,2764.82560589806,13858.2947012956
ADGRG4,DMXL1,351.808123326498,667.162117317316,12235.0479547544,0.001,0.882088914626445,0.998734433198577,0.000883630558723826,4.29861842203615,0.414083093405466,10.381052717424,406.506872312154,657.44760332765,25,7,4,795,831,231.297236301262,508.303816055454,346.425759262159,1142.64003336614,3543.96777792403,33711.9264224401,,20919.2421986258
ADGRG4,DMXL2,410.924782262005,406.021565669881,0.001,8867.34020101875,0.895022024900485,0.254414866259203,0.00447063342623017,4.78199598279515,0.655484762085912,7.29535796923436,406.506872312739,533.543200696084,25,12,4,790,831,278.92267559256,579.177456600661,217.41392070612,680.983519362044,,5142.06813843245,2692.55643081317,21576.1983461858
ADGRG4,DNAH5,355.520221814665,338.460379839086,0.001,990.067634228452,0.837042972117567,0.789871081722928,0.788249174142224,1.18591870545438,0.845436275737386,1.40272985615625,345.966241454918,348.54910996883,19,22,1,623,665,221.57438927373,534.921413120368,215.98294361475,500.303419603312,,1995.61282832667,55.8289352567397,4563.74884223296
ADGRG4,EPHA2,398.099913963209,771.826018024428,987.745293677717,0.001,0.98803988369191,0.991082042578726,0.972868246440115,1.03808621424471,0.859623507846823,1.20760566081412,406.506872311591,757.809574988665,28,22,1,780,831,268.251135860183,564.319562274609,497.806211034616,1131.65584395054,55.8970888672611,4487.97805081063,,6185.89872170817
ADGRG4,ERBB2,411.656757230363,854.154983075953,0.001,0.001,0.696690347487425,0.728823781988873,0.507793158642245,1.32128603765643e-06,0.703160754011133,1.87906681383915e-06,406.50687231018,839.156127050948,29,18,0,784,831,279.419652211536,580.209965233343,517.823363875925,1311.75117451258,,2220.49322806392,,5194.01340814206
ADGRG4,ERBB3,350.31264897517,1114.08422337389,0.001,6597.05148577453,0.929809475221046,0.762108818536512,0.625322301263716,1.17214928543825,0.431901927734078,2.71392464392968,345.966241453395,1190.36951946496,19,12,1,633,665,218.336203657768,527.069525127857,596.570789478026,1868.56507931896,,4508.49017145931,373.205018918667,30016.3034065887
ADGRG4,ERBB4,409.469906866698,148.201382907438,0.001,4298.51348708468,0.976195465549172,0.791515563117514,0.000438668934468956,6.08938373350207,0.700482713921034,8.69312491583986,406.506872313354,207.124266526532,24,12,5,790,831,277.937718390067,577.118384846405,79.3588561230658,248.561271896429,,9585.58495757115,1501.15098958447,9737.22353143334
ADGRG4,FAT2,411.480858791467,227.659970058566,0.001,2763.57376374365,0.914339611384108,0.502323789876253,0.0646626867449153,3.70529968261276,0.782665651380412,4.73420505432634,406.506872311584,266.332372280145,26,16,3,786,831,279.300592759688,579.961246501044,133.530605950934,358.142694172642,,4669.34652610712,675.707420981775,7449.80423512565
ADGRG4,FBN2,411.674248240571,189.887313386432,0.001,1983.8553893288,0.935434371975686,0.669545085612904,0.0937413233138573,3.7123247660793,0.902679134738147,4.11256295090524,406.506872310979,218.124925062791,26,18,3,784,831,279.432310340841,580.233891919612,115.117409955758,291.619261495514,,4717.34905924737,483.989599866292,5377.77935123365
ADGRG4,FBXW7,409.866787185363,483.250176778962,0.001,16157.2650889216,0.939008214777389,0.298882003198309,0.000251731543180771,5.82526627105695,0.607940216029624,9.58197223585731,406.506872310005,714.772175688495,24,10,5,792,831,278.187424657539,577.642025824602,242.12603231972,847.557476606857,,7695.52720468104,5646.08593443646,36552.3842183052
ADGRG4,FGFR2,410.332361946591,509.432618226051,0.001,0.001,0.764009117173203,0.789750206496036,0.603392852721137,1.21364772396552e-06,0.531416411400947,2.2837979744849e-06,406.506872311672,500.87269044749,29,14,0,788,831,278.522823620865,578.336955271085,286.989768118204,824.794155074704,,2983.73364815284,,4153.08032777487
ADGRG4,GLI3,413.12497315554,133.815762773126,0.001,1289.32846882707,0.869473783684595,0.445493501325169,0.102837980031285,3.72831849007249,0.955007491181259,3.90396779554147,406.506872310138,151.574866290435,26,20,3,782,831,280.413597274826,582.283195696923,83.4022201991761,201.334096429088,,3400.09169989922,315.028442713346,3481.56399041844
ADGRG4,GNAS,415.268152484676,927.564604545107,0.001,1962.66076262583,0.872789672583019,0.891675082695767,0.87208877557391,1.20199122880855,1.15550283186044,1.04023217915724,406.506872312319,945.340210943982,28,27,1,775,831,281.870145295444,585.312129088021,620.194249816734,1322.82424850071,,2129.35472066553,111.213650881197,8867.13855685387
ADGRG4,HMCN1,419.17579201094,212.04450405762,0.001,3646.52086407475,0.795530902155652,0.131309310818081,3.74297426365244e-05,10.1924903024455,2.00057661438795,5.09477629056648,406.506872312103,256.721042752854,20,40,9,762,831,284.515854149525,590.827679110289,152.923220874815,284.746019941706,,2290.5926204594,1667.48352717353,7173.54720751476
ADGRG4,HYDIN,353.546798131059,387.708649273272,0.001,1246.7411725236,0.90067573422132,0.833225200632862,0.823358830826001,1.27473524588566,0.838959364051041,1.51942430170922,345.96624145292,400.349834346199,19,21,1,624,665,220.350004394227,531.942287670159,244.61741105818,578.023523445998,,2577.53106180995,70.2999410517225,5748.93866984649
ADGRG4,IDH2,395.343043982161,2855.21198515026,1929.79712141128,0.001,0.863378198455403,0.953609956988141,0.716077352291956,0.967109633526014,0.419824871969569,2.30360252118677,406.506872312968,2798.17971658567,28,12,1,790,831,266.391098295833,560.394629634205,1570.21884671739,4699.2576689106,108.57366436171,8966.23042889076,,35296.0062914449
ADGRG4,KMT2C,411.769303426079,330.761336470118,0.001,6127.85336878825,0.935447761124789,0.447308417087211,0.00230497867601029,5.98170186500445,0.933938046334068,6.40481655981794,406.506872310722,412.268387112045,24,19,5,783,831,279.49664100083,580.366308385663,203.435833744621,502.583328125896,,5220.80954228002,2144.2578521294,13822.2216371726
