path_id	gene
pw.2454.tgs	TP53
pw.504.tgs	KRAS
pw.1750.tgs	ARID1A
pw.2000.tgs	PIK3CA
pw.1026.tgs	SMAD4
pw.1900.tgs	ATM
pw.2146.tgs	KMT2C
pw.1750.tgs	PBRM1
pw.2410.tgs	BRAF
pw.2783.tgs	APC
pw.2410.tgs	NF1
pw.1607	SF3B1
pw.1750.tgs	ARID2
pw.3070	IDH2
pw.504.tgs	NRAS
pw.2382	GNAS
pw.1900.tgs	BRCA2
pw.2749.tgs	FGFR2
pw.1750.tgs	ARID1B
pw.2026	EPHA2
pw.3294.tgs	ERBB3
pw.2146.tgs	FBXW7
pw.3294.tgs	ERBB2
pw.194	ANK2
pw.75	SYNE2
pw.1026.tgs	TGFBR2
pw.2146.tgs	NSD1
pw.2146.tgs	SETD2
pw.1750.tgs	SMARCA4
pw.2749.tgs	CTNNB1
pw.1900.tgs	BRCA1
pw.2142.tgs	RB1
pw.2142.tgs	ATR
pw.2146.tgs	NCOR1
pw.2783.tgs	ARAF
pw.2164	NIPBL
pw.2043	SPEN
pw.1608	RBM10
pw.1289	RNF43
pw.2000.tgs	PIK3R1
pw.2142.tgs	PTEN
pw.2146.tgs	NOTCH1
pw.2146.tgs	ATRX
pw.2146.tgs	BCOR
pw.141	ZNF804A
pw.1369	ALMS1
pw.1750.tgs	EP300
pw.2300.tgs	MAP2K4
pw.2561	ABCC1
pw.5	COL24A1
pw.3245	VAV3
pw.2300.tgs	CDKN2A
pw.2300.tgs	IGF1R
pw.2300.tgs	PIK3CG
pw.444	FBN1
pw.2548	TP53BP1
pw.2026	DST
pw.1369	PCNT
pw.646	ARSD
pw.1649	FASN
pw.1026.tgs	TGFBR1
pw.2749.tgs	AXIN1
pw.2749.tgs	MAP3K1
pw.2146.tgs	CREBBP
pw.2642	CENPF
pw.1220	GOLGB1
pw.1790	LCT
pw.3294.tgs	MAP2K1
pw.2142.tgs	MSH6
pw.2146.tgs	KDM6A
