path_id	top_genes	si	weighted_prop_msk	pathway_name	name_systematic	descrip	pw_rank	path_display_name	is_cancer_gene_path
pw.504.tgs	KRAS, NRAS	8041.83766840819	1	REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	M26921	Activation of RAS in B cells	1	KRAS|NRAS (P1)	TRUE
pw.3070	IDH2, GSS, GCLC	1039.04754754429	0.457142857142857	KEGG_GLUTATHIONE_METABOLISM	M1840	Glutathione metabolism	2	IDH2|GSS|GCLC (P2)	TRUE
pw.1320	MOGS, UGGT1, MARCHF6	1025.11434741755	0	REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	M918	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	3	MOGS|UGGT1|MARCHF6 (P3)	FALSE
pw.167	SLC4A7, KCNH8, SATB1	950.071707939463	0	chr3p24	M2406	Ensembl 109 genes in cytogenetic band chr3p24	4	SLC4A7|KCNH8|SATB1 (P4)	FALSE
pw.2000.tgs	PIK3CA, PIK3R1, PIK3CB	902.302415698477	1	REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS	M29851	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	5	PIK3CA|PIK3R1|PIK3CB (P5)	TRUE
pw.1121	CROT, ACBD5, HACL1	866.505124309479	0	REACTOME_PEROXISOMAL_LIPID_METABOLISM	M2286	Peroxisomal lipid metabolism	6	CROT|ACBD5|HACL1 (P6)	FALSE
pw.2410.tgs	BRAF, NF1, RAF1	846.945105341985	1	WP_PILOCYTIC_ASTROCYTOMA	M39584	Pilocytic astrocytoma	7	BRAF|NF1|RAF1 (P7)	TRUE
pw.1563	MCM8, PSMD3, PSMA5	838.722254943269	0	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	M4138	Orc1 removal from chromatin	8	MCM8|PSMD3|PSMA5 (P8)	FALSE
pw.2642	CENPF, CEP192, KIF15	835.341686890977	0	WP_GASTRIC_CANCER_NETWORK_1	M39347	Gastric cancer network 1	9	CENPF|CEP192|KIF15 (P9)	FALSE
pw.1614	EIF2B5, EIF3A, EIF5B	835.155077270208	0	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	M27686	Eukaryotic Translation Initiation	10	EIF2B5|EIF3A|EIF5B (P10)	FALSE
pw.735	TPR, NUP210, NUP98	816.0690860945	0	REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	M27041	Nuclear import of Rev protein	11	TPR|NUP210|NUP98 (P11)	FALSE
