signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	grp1.detection	grp2.detection	grp1.detection_wp	grp2.detection_wp	grp1.mean_when_present	grp2.mean_when_present	signif_label	grp1.prop_present	grp2.prop_present	pan_prop_present
SBS1	IHC-EHC	IHC	EHC	1.40107397456339e-05	0	0.0519546659822771	0.123580239787288	0.215653198410022	0.66396281462604	0.146254823491351	0.155630132689514	0.0033824139586847	0.0930166494702681	0.181634116688482	0.312259777762012	0.54136118824649	0.209594832844669	0.209594832844669	0.77481124497992	0.877479674796748	0.919064039408867	0.934723214285714	0.177050551083917	0.22783161846049	***	0.815261044176707	0.910569105691057	0.846774193548387
SBS10a	IHC-EHC	IHC	EHC	0.485727639724342	0	0	0	0	0.334542410946104	0.00134354381906066	0.334542410946104	0	0	0	0	0	0		0.00401606425702811	0	1		0.334542410946104			0.00401606425702811		0.00268817204301075
SBS10b	IHC-EHC	IHC	EHC	0.726360061462864	0	0	0	0	0.484331488959397	0.00210490028207443	0.174706723412177	0	0	0	0	0.000439449952213611	3.57276383913505e-06	0.000439449952213611	0.00691164658634538	5.69105691056911e-05	0.8505		0.261535133244837			0.00803212851405622		0.00537634408602151
SBS10c	IHC-EHC	IHC	EHC	0.0492614907234949	0	8.43626529607458e-05	0.00363915528654848	0.0300210174891574	0.167192825139409	0.0206013087897611	0.0263062866084642	0	0	0.00178002449844239	0.0141537536708799	0.216879598465588	0.0177453769893453	0.0262973658998731	0.188180722891566	0.138674796747967	0.802794871794872	0.770615384615385	0.0825917116315928	0.103291943963712	*	0.156626506024096	0.105691056910569	0.139784946236559
SBS10d	IHC-EHC	IHC	EHC	0.840944338871099	0	0	0	0.00063231377234627	0.0510093992738327	0.0023580035068478	0.00581329577430795	0	0	0	0.000590416296227755	0.0318694304206835	0.00147743010923341	0.00342875289501338	0.0246024096385542	0.0189593495934959								
SBS12	IHC-EHC	IHC	EHC	0.000163899563858192	0	0.00022933777153375	0.00455455972852995	0.0304995336583171	0.27609409728505	0.0243534680307381	0.0306263310083524	0	0	0.000611415147238053	0.0114572249626813	0.111605430675762	0.0107073877975704	0.0160610816963556	0.197787148594378	0.099479674796748	0.839666666666667	0.711333333333333	0.111530454193201	0.0660425047092363	***	0.132530120481928	0.0487804878048781	0.104838709677419
SBS13	IHC-EHC	IHC	EHC	2.05253597623095e-05	0	0	0.00343610106746175	0.0278696424157278	0.297676958865381	0.0241887055372101	0.0356389803477238	0	0.000403190034535587	0.0182768249474632	0.0807073715617229	0.470465165355733	0.0625391857563068	0.0818331898726142	0.259008032128514	0.44679674796748	0.864203703703704	0.912269230769231	0.0908968607132003	0.137998654236224	***	0.216867469879518	0.422764227642276	0.28494623655914
SBS15	IHC-EHC	IHC	EHC	0.168130345095911	0	0	0	0	0.470187594874985	0.0226791146984428	0.15686387666423	0	0	0	0	0.425966119077753	0.0265695393831667	0.13072213376518	0.0920923694779117	0.11969918699187	0.919434782608696	0.903866666666667	0.239347517507093	0.211793254393132		0.0923694779116466	0.121951219512195	0.102150537634409
SBS16	IHC-EHC	IHC	EHC	0.00731328991721838	0	0	0.00334301981683955	0.0284036199951171	0.52116963921508	0.0351588763448111	0.0478391268298249	0	0	0.000649961089783828	0.0114403344780979	0.287467679142568	0.0199623549829946	0.0310806286444093	0.205903614457831	0.122365853658537	0.757955555555555	0.791363636363636	0.155014418727994	0.163225426278717	**	0.180722891566265	0.0894308943089431	0.150537634408602
SBS17a	IHC-EHC	IHC	EHC	0.300848634861297	0	0	0	0.00522614263396577	0.070347275135464	0.00648407534727062	0.0144154889416999	0	0	0	0.00931550762113631	0.077104001815941	0.00745418169925287	0.0150305630984935	0.0849317269076305	0.0954552845528455	0.621076923076923	0.596	0.0516699982651847	0.052343129485552		0.0522088353413655	0.024390243902439	0.0430107526881721
SBS17b	IHC-EHC	IHC	EHC	0.699564938358303	0	0	0	0.00423130891716372	0.154431170928296	0.00674190176744301	0.0176708793694033	0	0	0	0.00422777503130445	0.272818530043091	0.00791763219103129	0.019477375189937	0.102313253012048	0.106878048780488	0.784222222222222	0.757111111111111	0.0582957921639925	0.0716326354133346		0.072289156626506	0.0731707317073171	0.0725806451612903
SBS18	IHC-EHC	IHC	EHC	0.0593621532046054	0	0	0.00140198991891194	0.0155938791129831	0.410935371715329	0.0223119559330731	0.0328738285641136	0	0	0.000456826065752352	0.00852625426388052	0.103413479247776	0.0103077937207829	0.0173679264062507	0.13574297188755	0.0884959349593496	0.840260869565218	0.719285714285714	0.154263269197685	0.0739114653108163		0.0923694779116466	0.0569105691056911	0.0806451612903226
SBS2	IHC-EHC	IHC	EHC	1.18083801881831e-06	0	0.00029589729894461	0.0154528534501833	0.0483354483265527	0.384291075571305	0.0333788619554631	0.0419764476106581	0	0.0112050974210233	0.0469416179430976	0.106253481488263	0.467203420738839	0.0749841964982762	0.0853986682341479	0.395522088353414	0.583772357723577	0.823903225806451	0.901557142857143	0.0764386310046827	0.123803908007063	***	0.373493975903614	0.569105691056911	0.438172043010753
SBS20	IHC-EHC	IHC	EHC	0.239836181194913	0	0	0	0	0.266509731797649	0.00618011821987394	0.0530637736809865	0	0	0	0	0.272534090050036	0.00527151805721006	0.0324198360518418	0.0420843373493976	0.0334065040650407	0.804363636363636	0.682666666666667	0.126382643996782	0.140971077937537		0.0441767068273092	0.024390243902439	0.0376344086021505
SBS21	IHC-EHC	IHC	EHC	0.188455048656429	0	0	0	0	0.254310265529758	0.00269743499791374	0.0292026658469792	0	0	0	0	0.15916659840654	0.0019680493688671	0.0142394160218031	0.0190843373493976	0.0172276422764228	0.844	0.7915	0.127258920221606	0.104551080286129		0.0200803212851406	0.016260162601626	0.0188172043010753
SBS22a	IHC-EHC	IHC	EHC	0.0166003279474472	0	0	0.000143875450598681	0.00969087034907363	1	0.045386927775591	0.0763604392981227	0	0	0	0.00329804310948308	0.462258302632155	0.0121908597451001	0.0263065920815318	0.147646586345382	0.0747886178861789	0.8709	0.8385	0.348597389834475	0.196406899261862	*	0.120481927710843	0.0487804878048781	0.0967741935483871
SBS22b	IHC-EHC	IHC	EHC	0.266136783326718	0	0	3.54707665654388e-05	0.00126501837678172	0.0983856251638622	0.00260910292996563	0.00515608436159875	0	0	0	0.000923214672637648	0.0789858171729508	0.00328775495720302	0.00808787719471944	0.0313975903614458	0.0389186991869919	0.79	0.788	0.0663070007008728	0.0652740551428637		0.00803212851405622	0.016260162601626	0.010752688172043
SBS24	IHC-EHC	IHC	EHC	0.377746999387066	0	0.000170164016155398	0.00807969692767335	0.0460454537954681	0.859713259473444	0.0517649068854643	0.0654287401750284	0	5.16533526615486e-05	0.00620394349958263	0.03928602590879	0.294670293488865	0.0296098640852139	0.0391614331449603	0.236088353413655	0.18909756097561	0.778577777777778	0.6738125	0.214985533813825	0.125745951407964		0.180722891566265	0.130081300813008	0.163978494623656
SBS28	IHC-EHC	IHC	EHC	0.628480349638027	0	0	0	0.00100058802524429	0.168013083121289	0.00353963517308294	0.0111565716214893	0	0	0	0.00211845831868447	0.0733891164939339	0.00314390121289555	0.00899301974851516	0.0456305220883534	0.0427967479674797	0.9455	0.601	0.131668991465328	0.0650814147062762		0.00803212851405622	0.016260162601626	0.010752688172043
SBS29	IHC-EHC	IHC	EHC	0.412404581178357	0	0	0.000679754489598978	0.00623218602174274	0.58895695643882	0.0114942896946469	0.0172414345419703	0	0	0.000343119589888781	0.00506180375305244	0.134973609898318	0.00878256981860495	0.014213895890637	0.0694016064257028	0.0639674796747968	0.699857142857143	0.73725	0.204974407892319	0.106029942974284		0.0281124497991968	0.032520325203252	0.0295698924731183
SBS3	IHC-EHC	IHC	EHC	0.185958327876251	0	0.000174215620703493	0.00410401621666367	0.0331839549017114	0.419874811772686	0.0372996472471872	0.0481223428215006	0	0	0.0026447541251622	0.0221240045211517	0.501708660021504	0.037416647786744	0.056124971680116	0.152321285140562	0.14520325203252	0.778285714285714	0.718117647058824	0.217421504883185	0.19822894862076		0.112449799196787	0.138211382113821	0.120967741935484
SBS32	IHC-EHC	IHC	EHC	0.0826829092860584	0	3.96659397410123e-05	0.00248537242409221	0.0246306859490464	0.34161622036908	0.0214654326013874	0.0279837315065207	0	0	0.00121839121951832	0.0138795192164718	0.374253635409386	0.0141461431509784	0.0202322745066319	0.15433734939759	0.0984878048780488	0.686791666666667	0.6595	0.119932493963994	0.143715753600074		0.0963855421686747	0.0487804878048781	0.0806451612903226
SBS38	IHC-EHC	IHC	EHC	0.00779694273186853	0	0	0	0.000677991179126968	0.163670656339281	0.0042965786320227	0.0110293616430274	0	0	3.95595638039879e-05	0.00328627563588567	0.479213840100132	0.0133045429779324	0.0251762890197798	0.0338473895582329	0.056390243902439	0.584	0.5895	0.083237212757095	0.174940138001946	**	0.0160642570281124	0.032520325203252	0.021505376344086
SBS4	IHC-EHC	IHC	EHC	0.554799361604283	0	0	0.000259146177556965	0.00508274511043347	0.397257445216931	0.0167480131322742	0.0279882904022568	0	0	8.84456624080649e-05	0.00718381901205054	0.131064423155733	0.0107996539415755	0.0195346681590262	0.0806144578313253	0.0609024390243902	0.745666666666667	0.6714	0.191853937076585	0.0969877272534034		0.0602409638554217	0.040650406504065	0.0537634408602151
SBS40a	IHC-EHC	IHC	EHC	0.0126966469183361	0	0.00325735724352548	0.0322126705721838	0.176289262765913	0.529461293285671	0.0985073539202003	0.116801576791095	0	0.000942337911749006	0.0121165858882677	0.0825179927659762	0.40858650807605	0.0592463910428905	0.0714441774340738	0.317943775100402	0.216772357723577	0.862704225352113	0.866473684210526	0.278727315055979	0.242510698746972	*	0.285140562248996	0.154471544715447	0.241935483870968
SBS40b	IHC-EHC	IHC	EHC	0.263893796124711	0	0	0.000375082789514621	0.00524053507229951	0.222388912334063	0.00927374690098052	0.0147080444480519	0	0	0.000193560098497283	0.00349021934880882	0.293561242246478	0.00801929050986603	0.0138925737001905	0.0622369477911647	0.049869918699187	0.713125	0.816666666666667	0.103520271211686	0.159658306744814		0.0321285140562249	0.024390243902439	0.0295698924731183
SBS40c	IHC-EHC	IHC	EHC	0.300828818396649	0	0.000269627344047602	0.0055868704222664	0.0401768660414822	0.529417363776513	0.0362051577406248	0.0450754213870779	0	0.000226931180601891	0.00403037403987131	0.0298304710049006	0.299863463656931	0.0286158392217053	0.0348489923195025	0.153698795180723	0.119406504065041	0.752111111111111	0.761	0.188838186731489	0.191998688277268		0.108433734939759	0.0813008130081301	0.0994623655913978
SBS42	IHC-EHC	IHC	EHC	0.234393513703437	0	0.00175484257338922	0.0274793091599828	0.112382796690218	0.992754447020559	0.0720321328240738	0.0807927976270018	0	0.00177038738976957	0.044195187910969	0.128356174890987	0.524407671424412	0.0896302612893794	0.10022292853267	0.357602409638554	0.397105691056911	0.767806818181819	0.802804347826087	0.176182734242937	0.205608408894477		0.353413654618474	0.373983739837398	0.360215053763441
SBS44	IHC-EHC	IHC	EHC	0.0492597927069843	0	0	0	0	0.204729728116056	0.00224269990458881	0.0253832852837551	0	0	0	0	0.365330999888926	0.00712522037289437	0.0461264266245267	0.0123694779116466	0.0321626016260163	0.6785	0.7895	0.161842241586542	0.263434364534777	*	0.00803212851405622	0.016260162601626	0.010752688172043
SBS5	IHC-EHC	IHC	EHC	0.326806256673949	0	0.00457341123864809	0.027789665143147	0.111346818754012	0.583094697604496	0.0749576102086168	0.0856167199171815	0	0.00463380616312476	0.0249926121968873	0.0827496784769135	0.270945903503099	0.0529170894581058	0.0586378558860092	0.268116465863454	0.223772357723577	0.78475	0.7017	0.225540658812685	0.161180237004872		0.208835341365462	0.16260162601626	0.193548387096774
SBS86	IHC-EHC	IHC	EHC	0.166845829474062	0	0	0.00306700804398392	0.0194431085058656	0.210556162493494	0.0176228190851896	0.023978589902799	0	0	0.00116874257633144	0.0152382833072177	0.0989247663685182	0.0130785037657732	0.0189253642728248	0.160907630522088	0.13109756097561	0.697269230769231	0.68025	0.0915786848249149	0.0732024770361161		0.104417670682731	0.0975609756097561	0.102150537634409
SBS87	IHC-EHC	IHC	EHC	0.0158935555668594	0	0.0020945129706007	0.0256013215908368	0.0985557662051779	0.520217693742437	0.0695415665413704	0.0773029020928627	0	0.01122121243986	0.0636997363494912	0.126017453943556	0.466551383752656	0.0919228834184209	0.102786496913325	0.320714859437751	0.383552845528455	0.762444444444444	0.747681818181818	0.187884521326124	0.196906657065432	*	0.289156626506024	0.357723577235772	0.311827956989247
SBS9	IHC-EHC	IHC	EHC	0.24576850983262	0	0	0	0.0010447732540014	0.0717084737934945	0.00319271626588851	0.00703527743545344	0	0	0	0.000865370013598167	0.22246902510209	0.00597957764511006	0.0163441788966342	0.030863453815261	0.0479756097560976	0.521	0.89275	0.0386014544077384	0.11229975355496		0.00401606425702811	0.032520325203252	0.0134408602150538
