signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	signif_label
SBS1	IHC-PHC	IHC	PHC	0.0226425000435617	0	0.0140418465835727	0.0373340019430209	0.0693514258705189	0.398750971741921	0.0533281582210609	0.0567466299018981	0.00164452277478105	0.0281536701320752	0.0491668847541683	0.0872460394236693	0.275109322710668	0.0661448348755849	0.0661448348755849	*
SBS2	IHC-PHC	IHC	PHC	0.20773631313715	0	9.96425769181822e-05	0.00678332855848827	0.0192380703865853	0.200526097459841	0.015160782886402	0.0190658330238086	0	0.000748300268527591	0.00887284808436768	0.0239419124216264	0.282602997110026	0.0230284407142715	0.0278569847350059	""
SBS3	IHC-PHC	IHC	PHC	0.420012670414692	0	0.000278401404241084	0.00596495063549095	0.0473742214486623	0.536230444312973	0.051163346078872	0.0660086692934669	0	0	0.00645583941516391	0.0531255960508051	0.572286726551583	0.0499040225932263	0.0748560338898394	""
SBS4	IHC-PHC	IHC	PHC	0.878766483616023	0	0	0.000440099881087854	0.00696707047671487	0.421655685025537	0.0184960784799946	0.0309095539699238	0	0	0.000416897711031138	0.00772171388842364	0.167549043631214	0.0150274593144985	0.0245012923605954	""
SBS5	IHC-PHC	IHC	PHC	0.170644797056214	0	0.00567513526752263	0.0409246522313228	0.155840224990167	0.647088387838376	0.0960092503256787	0.109661941885752	0	0.00354521727178443	0.0269536602706489	0.103416281078856	0.289601669594412	0.0665825310904307	0.0756619671482168	""
SBS9	IHC-PHC	IHC	PHC	0.65918399968304	0	0	0	0.00211160927954838	0.238309601597076	0.00602564341779716	0.0132777452303672	0	0	0	0.00369934313979963	0.470174694814637	0.0168505555222123	0.0451354165773545	""
SBS10a	IHC-PHC	IHC	PHC	0.588160460052776	0	0	0	0	0.420145745363001	0.00168733231069478	0.420145745363001	0	0	0	0	0	0		""
SBS10b	IHC-PHC	IHC	PHC	0.94139502395648	0	0	0	0	0.439016578389538	0.00186638803928244	0.154910207260442	0	0	0	0	0.000604050276419354	8.05400368559138e-06	0.000604050276419354	""
SBS10c	IHC-PHC	IHC	PHC	0.225752444689497	0	7.56039588834756e-05	0.00414012129028305	0.0329183403135926	0.188203971301339	0.0233391191422642	0.0298022598278143	0	0	0.00285851964428235	0.0247257497511557	0.316748846956216	0.0281063046586347	0.0430198540693389	""
SBS10d	IHC-PHC	IHC	PHC	0.906726321475998	0	0	0	0.000531900047956844	0.0667060637388434	0.0025437352689966	0.00627118893049656	0	0	0	0.00063890528401444	0.0304933366211359	0.00139421103346383	0.00348552758365959	""
SBS12	IHC-PHC	IHC	PHC	0.0617368434015371	0	0.000263874524909259	0.00675648953554514	0.0451912378105908	0.371655589417459	0.0330411935652493	0.0415518040290256	0	0	0.0026335331732213	0.0245509722018836	0.221163203726115	0.0241442509408833	0.0341663928408726	""
SBS13	IHC-PHC	IHC	PHC	0.138676790815271	0	0	0.00254740898696104	0.0202058392167588	0.364017763269929	0.0204876229248223	0.0301859059661583	0	0	0.0103983729317271	0.0321327802073898	0.40610129782917	0.0419299736337589	0.0628949604506383	""
SBS15	IHC-PHC	IHC	PHC	0.161343058499111	0	0	0	0	0.499953288985749	0.0207658791258249	0.143630663953623	0	0	0	0	0.473864317715455	0.0281146635595419	0.131787485435353	""
SBS16	IHC-PHC	IHC	PHC	0.0338074496861755	0	0	0.00312367643012307	0.0330235073129012	0.518217853529585	0.0347090672995643	0.0472270915715383	0	0	0.000425218857312624	0.0143242657431534	0.435644056178178	0.0291688811773013	0.0497196838249454	*
SBS17a	IHC-PHC	IHC	PHC	0.122603133403493	0	0	0	0.00691067890265326	0.106572413906117	0.00877876788115422	0.0195170821643518	0	0	0.00013712863885209	0.0203797371115149	0.126508591938264	0.0139083796780344	0.02674688399622	""
SBS17b	IHC-PHC	IHC	PHC	0.304855665077209	0	0	0	0.00684018660236038	0.184613722321216	0.0125286273681141	0.0328381917332675	0	0	0	0.00285921056853304	0.272316342035599	0.012206769612333	0.0398046835184771	""
SBS18	IHC-PHC	IHC	PHC	0.0524667186875771	0	0	0.00134939741230639	0.0161909540437855	0.360461857753974	0.0225181045460759	0.0331775623193662	0	0	0.000289117828978944	0.00839131308366654	0.167084475121764	0.0122530846316389	0.0229745336843229	""
SBS20	IHC-PHC	IHC	PHC	0.124587000262869	0	0	0	0	0.371121993038185	0.0088058237713703	0.0756086247955587	0	0	0	0	0.184890748107889	0.00849962837626629	0.0455337234442837	""
SBS21	IHC-PHC	IHC	PHC	0.31123153747802	0	0	0	0	0.424572426895883	0.00543425867838227	0.0588317569963994	0	0	0	0	0.35993808573321	0.00587852656645001	0.0440889492483751	""
SBS22a	IHC-PHC	IHC	PHC	0.0554610171282477	0	0	0.00017125385112569	0.0116940229119754	1	0.0477578923571863	0.0803494270063473	0	0	0	0.00333366042322014	0.607868178868569	0.0251143123585728	0.0553992184380283	""
SBS22b	IHC-PHC	IHC	PHC	0.811186056379844	0	0	3.86670442759946e-05	0.00155204831245425	0.117859457762234	0.00357216703976152	0.00705928248333824	0	0	0	0.0027228667721199	0.111756566788662	0.00739485071570213	0.0163121706964018	""
SBS24	IHC-PHC	IHC	PHC	0.0655827294445288	0	0.00021924703402832	0.011271618492023	0.0617718824858134	0.826650378921431	0.0582654465681548	0.0736451583526424	0	0	0.0037856868929139	0.0434023540050127	0.526505838619124	0.0353601401472892	0.0520002060989547	""
SBS28	IHC-PHC	IHC	PHC	0.796506258921981	0	0	0	0.00161084762982659	0.197430100273215	0.00555739824394847	0.0175163564904199	0	0	0	0.00298724178768921	0.07095030213596	0.00539149314353202	0.0161744794305961	""
SBS29	IHC-PHC	IHC	PHC	0.0596165866986136	0	0	0.000671434497680481	0.00856632469822413	0.63946318329422	0.0137840947378462	0.0206761421067693	0	0	0.000210226083187501	0.0030687805597231	0.189682464145933	0.00758851677774875	0.0135509228174085	""
SBS32	IHC-PHC	IHC	PHC	0.140266424176715	0	2.9882465938395e-05	0.00233910813069816	0.0238937828433997	0.281191306219368	0.0221297749154892	0.0288498112772608	0	0	0.000782608587853655	0.0144650014486545	0.361119432126062	0.0158206065729049	0.0237309098593573	""
SBS38	IHC-PHC	IHC	PHC	0.00274379451047689	0	0	0	0.000792919879067784	0.149377263909373	0.00530853564156179	0.0136270657190607	0	0	7.12464548451473e-05	0.00923264345855649	0.604792892220018	0.0296549710202323	0.054246898207742	**
SBS40a	IHC-PHC	IHC	PHC	0.136858208426518	0	0.00336427997260886	0.0353151157019464	0.175960554005115	0.57172806360286	0.105543075643585	0.125143932548822	0	0.000925991150203142	0.0201154581065853	0.109375272155244	0.500319491099119	0.0836268089190477	0.10453351114881	""
SBS40b	IHC-PHC	IHC	PHC	0.346526070119309	0	0	0.000686417812282739	0.00753669464186405	0.252800935523562	0.0140380599620135	0.0222641842709641	0	0	0.000238425469456168	0.00824440273478108	0.167525695237975	0.0128840663670828	0.0241576244382803	""
SBS40c	IHC-PHC	IHC	PHC	0.783738066389211	0	0.000321552231939096	0.00737624941422055	0.0482328728589103	0.600118617872537	0.0434009823031221	0.054034222967387	0	0.000342536008418407	0.0055456540781927	0.042550465618186	0.428232797050994	0.0440384472332961	0.0532723152015679	""
SBS42	IHC-PHC	IHC	PHC	0.0191048224177767	0	0.00170654533625832	0.0262884270733553	0.100719294668658	0.98451650140306	0.0667447576912484	0.0748623633564002	0	0.00315419047607806	0.0686408558708554	0.160155519555105	0.517539149334879	0.107450908737366	0.122103305383371	*
SBS44	IHC-PHC	IHC	PHC	0.0707915280012499	0	0	0	0	0.356857456848245	0.00403206546048904	0.0456356499846259	0	0	0	0	0.286135500250562	0.0101197483104491	0.0632484269403067	""
SBS86	IHC-PHC	IHC	PHC	0.0678876421096955	0	0	0.00343200115716231	0.0295265788496432	0.237083608098127	0.0241939124017565	0.0329195857269801	0	0	0.00132420261038732	0.0140362734042549	0.279799865840629	0.018995936394417	0.0296811506162766	""
SBS87	IHC-PHC	IHC	PHC	0.408006232387221	0	0.00220169043758491	0.0264816269168736	0.0947688607166431	0.531596682399392	0.0705623272730679	0.0784375870133656	0	0.00236391946192561	0.0472864116098139	0.125744150363023	0.36247244675404	0.0840755590869378	0.100089951293974	""
SBS96	IHC-PHC	IHC	PHC	0.356566635283445	0	6.11110390530634e-05	0.00286317460915896	0.023397666856503	0.287354594786464	0.0253803613585096	0.0336154786078132	0	0	0.00120127037068689	0.0256938164526321	0.272559520533028	0.0216101914473442	0.0324152871710163	""
SBS97	IHC-PHC	IHC	PHC	0.0276232901666164	0	2.02932713174869e-05	0.00456089283322095	0.0241384440846879	0.128818837745506	0.0165304986962249	0.0220111987987166	0	0	0.00058944069622638	0.0160739273329653	0.0918752466521826	0.0117478385183415	0.0191540845407742	*
SBS98	IHC-PHC	IHC	PHC	0.959248637246168	0	0	0.000282254804380578	0.0147644725548356	0.247464422369912	0.016780767237764	0.0296341208666896	0	0	0.0021458872702627	0.00827061403686018	0.159875765388662	0.010616568594551	0.016588388428986	""
SBS99	IHC-PHC	IHC	PHC	0.377084139987237	0	6.61197690592929e-05	0.00285710300362328	0.0201493415143175	0.184204235663349	0.0197287031366701	0.0254530936840977	0	0.000104855076831362	0.00423958198051385	0.0350386775799106	0.181336433777196	0.0253584636729679	0.0311784389421736	""
SBS1	IHC-DCC	IHC	DCC	0.0150982466272749	0	0.0140418465835727	0.0373340019430209	0.0693514258705189	0.398750971741921	0.0533281582210609	0.0567466299018981	0.00277892125117726	0.0282967512030716	0.0506423478671205	0.104536666025539	0.208263518847465	0.0722444166232945	0.0722444166232945	*
SBS2	IHC-DCC	IHC	DCC	4.00792575220962e-06	0	9.96425769181822e-05	0.00678332855848827	0.0192380703865853	0.200526097459841	0.015160782886402	0.0190658330238086	8.69542396021738e-05	0.00990864989236748	0.0208541049305555	0.0536498070123575	0.297309937752406	0.039919022536251	0.039919022536251	***
SBS3	IHC-DCC	IHC	DCC	0.775341407246762	0	0.000278401404241084	0.00596495063549095	0.0473742214486623	0.536230444312973	0.051163346078872	0.0660086692934669	0	0	0.00469728499304133	0.134295860449269	0.557020296412904	0.0732741738656659	0.111268189944159	""
SBS4	IHC-DCC	IHC	DCC	0.460854333709821	0	0	0.000440099881087854	0.00696707047671487	0.421655685025537	0.0184960784799946	0.0309095539699238	0	0	0	0.0117058025172687	0.155220794279632	0.0179357368014817	0.0387034320453027	""
SBS5	IHC-DCC	IHC	DCC	0.133507055224016	0	0.00567513526752263	0.0409246522313228	0.155840224990167	0.647088387838376	0.0960092503256787	0.109661941885752	0	0.0134725367997009	0.0759970207719237	0.205196272994728	0.382793470258799	0.112063656950867	0.117810511153475	""
SBS9	IHC-DCC	IHC	DCC	0.0793826261000361	0	0	0	0.00211160927954838	0.238309601597076	0.00602564341779716	0.0132777452303672	0	0	0	0.000594743756097778	0.0226170711849278	0.00126574402409518	0.00399196192214635	""
SBS10a	IHC-DCC	IHC	DCC	0.692190309284569	0	0	0	0	0.420145745363001	0.00168733231069478	0.420145745363001	0	0	0	0	0	0		""
SBS10b	IHC-DCC	IHC	DCC	0.484218584392148	0	0	0	0	0.439016578389538	0.00186638803928244	0.154910207260442	0	0	0	0	0	0		""
SBS10c	IHC-DCC	IHC	DCC	0.231355496350967	0	7.56039588834756e-05	0.00414012129028305	0.0329183403135926	0.188203971301339	0.0233391191422642	0.0298022598278143	0	0	0.00266551498133115	0.0132300484161275	0.182515636060985	0.0203227246610318	0.028732127969045	""
SBS10d	IHC-DCC	IHC	DCC	0.604960260120466	0	0	0	0.000531900047956844	0.0667060637388434	0.0025437352689966	0.00627118893049656	0	0	0	0.000679905442635417	0.0369138107250897	0.0021880322860166	0.00472154335403583	""
SBS12	IHC-DCC	IHC	DCC	0.00016334729336743	0	0.000263874524909259	0.00675648953554514	0.0451912378105908	0.371655589417459	0.0330411935652493	0.0415518040290256	0	0	8.34565418071841e-05	0.00717923961372151	0.101802619039686	0.0102617466186949	0.0191241641530223	***
SBS13	IHC-DCC	IHC	DCC	5.12198425811458e-06	0	0	0.00254740898696104	0.0202058392167588	0.364017763269929	0.0204876229248223	0.0301859059661583	0	0.00408854910632896	0.0276521891917322	0.0641493531306599	0.503674107046648	0.0594783941391162	0.0641740568343096	***
SBS15	IHC-DCC	IHC	DCC	0.257494486840033	0	0	0	0	0.499953288985749	0.0207658791258249	0.143630663953623	0	0	0	0	0.203270336296369	0.0176917315150055	0.0805956657905805	""
SBS16	IHC-DCC	IHC	DCC	0.249812462111907	0	0	0.00312367643012307	0.0330235073129012	0.518217853529585	0.0347090672995643	0.0472270915715383	0	0	0.00134957894745961	0.0112506050639259	0.252686483423765	0.0226044638949344	0.0319580351618038	""
SBS17a	IHC-DCC	IHC	DCC	0.924660681426511	0	0	0	0.00691067890265326	0.106572413906117	0.00877876788115422	0.0195170821643518	0	0	0	0.00762736141974149	0.0536323860002346	0.00689492924931846	0.014878531538003	""
SBS17b	IHC-DCC	IHC	DCC	0.0332857959069046	0	0	0	0.00684018660236038	0.184613722321216	0.0125286273681141	0.0328381917332675	0	0	0.00130091625970587	0.0242428721067768	0.230806765449114	0.026261623920046	0.0489421173055402	*
SBS18	IHC-DCC	IHC	DCC	0.641409902425676	0	0	0.00134939741230639	0.0161909540437855	0.360461857753974	0.0225181045460759	0.0331775623193662	0	0	0.000734364614859631	0.0150131479396417	0.135978069702496	0.0114550108910927	0.0161950153977518	""
SBS20	IHC-DCC	IHC	DCC	0.9455045466409	0	0	0	0	0.371121993038185	0.0088058237713703	0.0756086247955587	0	0	0	0	0.347563049525294	0.00938965261861288	0.0769951514726257	""
SBS21	IHC-DCC	IHC	DCC	0.308096036778007	0	0	0	0	0.424572426895883	0.00543425867838227	0.0588317569963994	0	0	0	0	0.0145322485113832	0.000530174594762366	0.00362285973087617	""
SBS22a	IHC-DCC	IHC	DCC	0.31850747009004	0	0	0.00017125385112569	0.0116940229119754	1	0.0477578923571863	0.0803494270063473	0	0	0	0.00772174593933531	0.098506786730028	0.00961921910627166	0.0197193991678569	""
SBS22b	IHC-DCC	IHC	DCC	0.0785420466718232	0	0	3.86670442759946e-05	0.00155204831245425	0.117859457762234	0.00357216703976152	0.00705928248333824	0	0	0	0.00034738767378232	0.0330842988571133	0.00220476804508409	0.00645682070346054	""
