cca_type,signature,pval,fdr
IHC,apobec,3.51527225128895e-05,7.03054450257789e-05
PHC,apobec,0.000228772956421813,0.000410213577032216
DCC,apobec,1.99785972969303e-10,6.63119399642793e-10
panCCA,apobec,2.82213115565444e-14,1.29486017730027e-13
IHC,treatment,1.39548532635928e-31,2.17695710912047e-30
PHC,treatment,3.27154481097459e-07,9.27929073658246e-07
DCC,treatment,1.88101173715315e-13,8.15105086099697e-13
panCCA,treatment,8.49325553814644e-49,6.62473931975423e-47
IHC,SBS1,7.16224449717007e-37,1.86218356926422e-35
PHC,SBS1,2.01352864114021e-13,8.48947210859116e-13
DCC,SBS1,8.10566780555358e-08,2.43170034166607e-07
panCCA,SBS1,4.74959312151133e-55,7.40936526955767e-53
IHC,SBS2,3.86598367674076e-05,7.63409434900707e-05
PHC,SBS2,0.00461918667298892,0.00679804831119125
DCC,SBS2,6.9064779513813e-06,1.51747966255702e-05
panCCA,SBS2,1.46915278898336e-10,4.98234424090009e-10
IHC,SBS3,0.121148838458688,0.148812746453192
PHC,SBS3,0.995229519451862,0.995229519451862
DCC,SBS3,0.316992652301729,0.355761537835034
panCCA,SBS3,0.0946245230824186,0.118091404806858
IHC,SBS4,0.00014336323369639,0.00026005423786787
PHC,SBS4,0.0111517284875834,0.0156726994960632
DCC,SBS4,0.0931789116995114,0.117225082460676
panCCA,SBS4,1.53531347580793e-06,3.92637544632848e-06
IHC,SBS5,2.78928094949188e-14,1.29486017730027e-13
PHC,SBS5,0.0593579709767155,0.0759003563308821
DCC,SBS5,0.000299904934647082,0.000531649656874373
panCCA,SBS5,3.49903486096679e-17,2.02166458633637e-16
IHC,SBS9,3.24837705351969e-15,1.58358381359085e-14
PHC,SBS9,1.49000468641944e-05,3.14109096055989e-05
DCC,SBS9,2.17185283390847e-06,5.13347033469274e-06
panCCA,SBS9,1.28819233889887e-23,1.11643336037902e-22
IHC,SBS10a,2.74958696932324e-32,5.36169459018032e-31
PHC,SBS10a,1.13917092524489e-11,4.33440644727324e-11
DCC,SBS10a,5.64472371695364e-07,1.54487175411363e-06
panCCA,SBS10a,1.11459961204882e-47,5.79591798265384e-46
IHC,SBS10b,2.33062324891583e-31,3.30524751664426e-30
PHC,SBS10b,1.39259892535607e-11,5.17251029417967e-11
DCC,SBS10b,5.64472371695364e-07,1.54487175411363e-06
panCCA,SBS10b,1.04596246167243e-46,4.07925360052247e-45
IHC,SBS10c,0.445522890082204,0.482649797589054
PHC,SBS10c,0.134041801712811,0.162097062536422
DCC,SBS10c,0.303827896892738,0.343457622574399
panCCA,SBS10c,0.708866806978139,0.737221479257265
IHC,SBS10d,3.58693455247312e-20,2.66457995326574e-19
PHC,SBS10d,4.7687383446349e-10,1.54983996200634e-09
DCC,SBS10d,6.77215445511018e-05,0.000128836109145999
panCCA,SBS10d,6.89553074830266e-32,1.19522532970579e-30
IHC,SBS12,0.427801973049401,0.466693061508438
PHC,SBS12,0.0700448181250792,0.0888373303049785
DCC,SBS12,0.00739189473071687,0.0105792254861636
panCCA,SBS12,0.337484679764015,0.370757817205538
IHC,SBS13,0.771260100217338,0.79155641864411
PHC,SBS13,0.152450220770675,0.181543774352864
DCC,SBS13,0.000118779012855094,0.000220589595302318
panCCA,SBS13,0.0140990022113768,0.0194641092475644
IHC,SBS15,1.38834389108929e-12,5.55337556435714e-12
PHC,SBS15,0.00352630449004769,0.00528945673507153
DCC,SBS15,0.0196470758581901,0.0264219296023936
panCCA,SBS15,2.90802915340864e-15,1.46339531590886e-14
IHC,SBS16,0.332416101714015,0.367779516789974
PHC,SBS16,0.163213529517332,0.191438425599277
DCC,SBS16,0.110076973511631,0.136285776728686
panCCA,SBS16,0.793738634692094,0.809302137333116
IHC,SBS17a,2.09722300350867e-09,6.54333577094705e-09
PHC,SBS17a,0.000965871802225211,0.00158606316996982
DCC,SBS17a,0.00356473844190227,0.00529618282796909
panCCA,SBS17a,9.42346978916353e-14,4.20017510602717e-13
IHC,SBS17b,1.28581636442009e-10,4.55880347385304e-10
PHC,SBS17b,1.65458894408797e-06,4.16315927867296e-06
DCC,SBS17b,0.0218413602372123,0.0291218136496164
panCCA,SBS17b,1.25886981451022e-16,6.77185141598601e-16
IHC,SBS18,0.123295876863861,0.15026684992783
PHC,SBS18,0.00122322503633078,0.00196724851203714
DCC,SBS18,0.155082277877306,0.18327905567318
panCCA,SBS18,0.00128114803651762,0.00203937850710968
IHC,SBS20,1.33978709726868e-19,9.50030850790519e-19
PHC,SBS20,5.03858457371011e-06,1.12288456214111e-05
DCC,SBS20,3.26066379007607e-05,6.60602014612814e-05
