PATH_ID	pathway_name	info_url	description_brief	contributor	name_systematic
1	chr1p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p11	Anthony Castanza	M12793
2	chr1p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p12	Anthony Castanza	M14892
3	chr1p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p13	Anthony Castanza	M6974
4	chr1p21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p21	Anthony Castanza	M16131
5	chr1p22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p22	Anthony Castanza	M15893
6	chr1p31	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p31	Anthony Castanza	M468
7	chr1p32	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p32	Anthony Castanza	M5904
8	chr1p33	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p33	Anthony Castanza	M978
9	chr1p34	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p34	Anthony Castanza	M13304
10	chr1p35	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p35	Anthony Castanza	M17536
11	chr1p36	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1p36	Anthony Castanza	M19292
12	chr1q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q21	Anthony Castanza	M17159
13	chr1q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q22	Anthony Castanza	M13971
14	chr1q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q23	Anthony Castanza	M5051
15	chr1q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q24	Anthony Castanza	M5647
16	chr1q25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q25	Anthony Castanza	M19314
17	chr1q31	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q31	Anthony Castanza	M9072
18	chr1q32	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q32	Anthony Castanza	M5704
